PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Alam, A; Imdad, M				Alam, Aftab; Imdad, Mohammad			Relation-theoretic contraction principle	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Complete metric spaces; binary relations; contraction mappings	PARTIALLY ORDERED SETS; ORDINARY DIFFERENTIAL-EQUATIONS; FIXED-POINT	In this paper, we present yet another new and novel variant of classical Banach contraction principle on a complete metric space endowed with a binary relation which, under universal relation, reduces to Banach contraction principle. In process, we observe that various kinds of binary relations, such as partial order, preorder, transitive relation, tolerance, strict order, symmetric closure, etc., utilized by earlier authors in several well-known metrical fixed point theorems can be weakened to the extent of an arbitrary binary relation.	[Alam, Aftab; Imdad, Mohammad] Aligarh Muslim Univ, Dept Math, Aligarh 202002, Uttar Pradesh, India	Alam, A (reprint author), Aligarh Muslim Univ, Dept Math, Aligarh 202002, Uttar Pradesh, India.	aftab_math.rs@amu.ac.in; mhimdad@amu.ac.in			University Grant Commission, New Delhi, Government of India	The authors are grateful to the anonymous referee for valuable suggestions and fruitful comments. The first author is thankful to University Grant Commission, New Delhi, Government of India for awarding BSR (Basic Scientific Research) Fellowship.		19	27	27	0	2	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	DEC	2015	17	4					693	702		10.1007/s11784-015-0247-y				10	Mathematics, Applied; Mathematics	Mathematics	CV8VM	WOS:000364566200005					2019-08-07	
J	Gibali, A; Reich, S; Zalas, R				Gibali, Aviv; Reich, Simeon; Zalas, Rafal			Iterative methods for solving variational inequalities in Euclidean space	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Almost cyclic control; common fixed point; intermittent control; iterative method; metric projection; nonexpansive operator; quasi-nonexpansive operator; subgradient projection; variational inequality	FIXED-POINT SET; QUASI-NONEXPANSIVE MAPPINGS; CONVEX FEASIBILITY PROBLEMS; HILBERT-SPACES; PROJECTION METHOD; CONVERGENCE; OPERATORS; INTERSECTION	In this paper, we investigate the convergence properties of an iterative method for solving variational inequalities in Euclidean space. We show that under certain assumptions the method can be applied to variational inequalities defined over the common fixed point set of a given infinite family of cutter operators. The main step of our method consists in the computation of the metric projection onto a certain superhalf- space, which is constructed using the input data defining the problem. Moreover, in the case where the common fixed point set is a finite intersection of the fixed point sets of cutters for which Opial's closedness principle holds, we show that the iterative method can be easily combined with either sequential, composition or convex combination type methods. We also discuss ways of applying our method to more general classes of operators such as quasi-nonexpansive and demi-contractive ones.	[Gibali, Aviv] ORT Braude Coll, Dept Math, IL-21982 Karmiel, Israel; [Reich, Simeon; Zalas, Rafal] Technion Israel Inst Technol, Dept Math, IL-32000 Haifa, Israel	Gibali, A (reprint author), ORT Braude Coll, Dept Math, IL-21982 Karmiel, Israel.	avivg@braude.ac.il; sreich@tx.technion.ac.il; rzalas@tx.technion.ac.il			Israel Science Foundation [389/12]; Fund for the Promotion of Research at the Technion; Technion General Research Fund; Polish National Science Centre within the framework of the Etiuda funding scheme [DEC-2013/08/T/ST1/00177]	The second author was partially supported by the Israel Science Foundation (Grant 389/12), the Fund for the Promotion of Research at the Technion and by the Technion General Research Fund. The third author was financially supported by the Polish National Science Centre within the framework of the Etiuda funding scheme under agreement No. DEC-2013/08/T/ST1/00177.		54	10	10	1	7	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	DEC	2015	17	4					775	811		10.1007/s11784-015-0256-x				37	Mathematics, Applied; Mathematics	Mathematics	CV8VM	WOS:000364566200010					2019-08-07	
J	Kirk, WA; Shahzad, N				Kirk, W. A.; Shahzad, Naseer			Fixed points and Cauchy sequences in semimetric spaces	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Fixed points; Cauchy sequences; contraction mappings; metric spaces; semimetric spaces; generalized metric spaces; Caristi's theorem		There have been numerous attempts recently to extend many of the metric standard fixed point theorems to a more general semimetric context. In many instances a weakened form of the triangle inequality is involved and the space is assumed to be complete. Thus Cauchy sequences play a central role. One of the standard tests to determine when a sequence is Cauchy in a metric space (X, d) is the summation criterion: If and , then {p (n) } is Cauchy. In this note we examine instances in which this criterion plays a critical role.	[Kirk, W. A.] Univ Iowa, Dept Math, Iowa City, IA 52242 USA; [Shahzad, Naseer] King Abdulaziz Univ, Dept Math, Jeddah 21959, Saudi Arabia	Kirk, WA (reprint author), Univ Iowa, Dept Math, Iowa City, IA 52242 USA.	william-kirk@uiowa.edu; nshahzad@kau.edu.sa	Shahzad, Naseer/H-9433-2012	Shahzad, Naseer/0000-0001-7155-5917	Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah; DSR	This article was funded by the Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah. The authors acknowledge with thanks DSR for financial support. The authors are grateful to the reviewer for his useful comments.		29	9	9	0	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	SEP	2015	17	3					541	555		10.1007/s11784-015-0233-4				15	Mathematics, Applied; Mathematics	Mathematics	CT7ZP	WOS:000363034800007					2019-08-07	
J	Khamsi, MA				Khamsi, M. A.			Generalized metric spaces: A survey	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Banach contraction principle; cone metric spaces; fixed point; generalized metric spaces; Menger spaces; b-metric spaces; G-metric spaces; modular metric spaces; partially ordered metric spaces	PARTIALLY ORDERED SETS; POINT; CONTRACTION; MAPPINGS; THEOREMS	Banach's contraction mapping principle is remarkable in its simplicity, yet it is perhaps the most widely applied fixed point theorem in all of analysis with special applications to the theory of differential and integral equations. Because the underlined space of this theorem is a metric space, the theory that developed following its publication is known as the metric fixed point theory. Over the last one hundred years, many people have tried to generalize the definition of a metric space. In this paper, we survey the most popular generalizations and we discuss the recent uptick in some generalizations and their impact in metric fixed point theory.	[Khamsi, M. A.] Univ Texas El Paso, Dept Math Sci, El Paso, TX 79968 USA; [Khamsi, M. A.] King Fahd Univ Petr & Minerals, Dept Math & Stat, Dhahran 31261, Saudi Arabia	Khamsi, MA (reprint author), Univ Texas El Paso, Dept Math Sci, El Paso, TX 79968 USA.	mohamed@math.utep.edu	Khamsi, Mohamed A/M-9313-2016	Khamsi, Mohamed A/0000-0001-6787-7032	King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia [ARP-32-34]	The author acknowledges gratefully the support of King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia, for supporting Research Project ARP-32-34.		68	8	8	0	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	SEP	2015	17	3					455	475		10.1007/s11784-015-0232-5				21	Mathematics, Applied; Mathematics	Mathematics	CT7ZP	WOS:000363034800001					2019-08-07	
J	Khatibzadeh, H; Ranjbar, S				Khatibzadeh, Hadi; Ranjbar, Sajad			A variational inequality in complete CAT(0) spaces	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Hadamard space; fixed point; variational inequality; nonexpansive mapping; Delta-convergence; strong convergence	FIXED-POINTS; NONEXPANSIVE-MAPPINGS; CONVERGENCE; THEOREMS	In this paper, first, existence of solutions for a variational inequality associated with a nonexpansive mapping in Hadamard spaces is studied. Then, the inexact proximal point algorithm for approximation of a solution of the variational inequality, which is also a fixed point of the nonexpansive mapping, is proposed. We prove the -convergence of the generated sequence by the algorithm as well as the strong convergence of a Halpern-type regularization one to a fixed point of the nonexpansive mapping. Our motivation is to give a step toward investigation of variational inequalities in CAT(0) spaces.	[Khatibzadeh, Hadi; Ranjbar, Sajad] Univ Zanjan, Dept Math, Zanjan, Iran	Khatibzadeh, H (reprint author), Univ Zanjan, Dept Math, POB 45195-313, Zanjan, Iran.	hkhatibzadeh@znu.ac.ir; sranjbar@znu.ac.ir						19	8	8	0	2	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	SEP	2015	17	3					557	574		10.1007/s11784-015-0245-0				18	Mathematics, Applied; Mathematics	Mathematics	CT7ZP	WOS:000363034800008					2019-08-07	
J	Bahyrycz, A; Brzdek, J; Jablonska, E; Olko, J				Bahyrycz, Anna; Brzdek, Janusz; Jablonska, Eliza; Olko, Jolanta			On functions that are approximate fixed points almost everywhere and Ulam's type stability	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Ulam's type stability; fixed point almost everywhere; approximate fixed point; nonlinear operator	EQUATIONS	In this paper, we investigate functions that are approximate fixed points of some (possibly nonlinear) operators almost everywhere, with respect to some ideals of sets. We prove that (under suitable assumptions) there exist fixed points of the operators that are "near" those functions. The results are applied to obtain some general stability results of Ulam's type almost everywhere; in particular, for the polynomial functional equation.	[Bahyrycz, Anna; Brzdek, Janusz] Pedag Univ, Dept Math, PL-30084 Krakow, Poland; [Jablonska, Eliza] Rzeszow Univ Technol, Dept Math, PL-35959 Rzeszow, Poland; [Olko, Jolanta] AGH Univ Sci & Technol, Fac Appl Math, PL-30059 Krakow, Poland	Bahyrycz, A (reprint author), Pedag Univ, Dept Math, Podchorazych 2, PL-30084 Krakow, Poland.	bah@up.krakow.pl; jbrzdek@up.krakow.pl; elizapie@prz.edu.pl	Olko, Jolanta/G-5916-2017	Olko, Jolanta/0000-0003-2051-8942; Jablonska, Eliza/0000-0002-0347-0214				20	6	6	0	3	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	DEC	2015	17	4					659	668		10.1007/s11784-015-0243-2				10	Mathematics, Applied; Mathematics	Mathematics	CV8VM	WOS:000364566200003		Other Gold			2019-08-07	
J	Du, WS				Du, Wei-Shih			On Caristi-type mappings without lower semicontinuity assumptions	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Fixed point; directed set; net; orbit; influential function; w-distance; w(rw)-distance; rough quasi-distance; Caristi-type mapping; MT-function (R-function); Banach contraction principle; Caristi's fixed point theorem	EKELANDS VARIATIONAL PRINCIPLE; FIXED-POINT THEOREMS; COMPLETE METRIC-SPACES; GENERALIZED DISTANCE; EXISTENCE; MAPS	In this paper, we establish some new fixed point theorems for generalized distances and Caristi-type mappings without assuming that the dominated functions possess lower semicontinuity property. As applications of these results, we obtain some new fixed point theorems which generalize and improve the famous Banach contraction principle.	Natl Kaohsiung Normal Univ, Dept Math, Kaohsiung 82444, Taiwan	Du, WS (reprint author), Natl Kaohsiung Normal Univ, Dept Math, Kaohsiung 82444, Taiwan.	wsdu@nknucc.nknu.edu.tw			Ministry of Science and Technology of the Republic of China [MOST 103-2115-M-017-001]	The author wishes to express his hearty thanks to Professor Simeon Reich and the anonymous referee for their valuable suggestions and comments. This research was supported by grant no. MOST 103-2115-M-017-001 of the Ministry of Science and Technology of the Republic of China.		27	5	5	0	1	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	DEC	2015	17	4					733	752		10.1007/s11784-015-0253-0				20	Mathematics, Applied; Mathematics	Mathematics	CV8VM	WOS:000364566200008					2019-08-07	
J	Kuhl, C				Kuhl, Christian			Symmetric equilibria for the N-vortex problem	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Fluid dynamics; Kirchhoff-Routh path function; variational methods	BOUNDED PLANAR DOMAINS; SINH-POISSON; EQUATIONS; EXISTENCE	This paper is concerned with the study of existence and properties of symmetric stationary solutions for the dynamics of N point vortices in an ideal fluid constrained to a dihedrally symmetric two-dimensional domain , which is governed by a Hamiltonian system Gamma(i)dxi/dt = partial derivative H Omega/partial derivative yi (z(1), ... , z(N)), Gamma(i)dyi/dt = partial derivative H Omega/partial derivative xi (z(1), ... , z(N)), where z(i) = (x(i), y(i)), i = 1, ... , N, and where H-Omega(z) := (N)Sigma(j=1) Gamma(2)(j)h(z(j)) + (N)Sigma(i,j=1, i not equal j) Gamma(i)Gamma(j)G(z(i),z(j)) is the so-called Kirchhoff-Routh path function under some conditions on the vorticities Gamma(i).	Univ Giessen, Math Inst, D-35392 Giessen, Germany	Kuhl, C (reprint author), Univ Giessen, Math Inst, Arndtstr 2, D-35392 Giessen, Germany.	christian.kuhl@math.uni-giessen.de	Kuhl, Christiane K/H-3301-2013	Kuhl, Christiane K/0000-0001-8696-2363				12	5	5	1	1	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	SEP	2015	17	3					597	624		10.1007/s11784-015-0242-3				28	Mathematics, Applied; Mathematics	Mathematics	CT7ZP	WOS:000363034800010					2019-08-07	
J	Jleli, M; Samet, B				Jleli, Mohamed; Samet, Bessem			Best proximity point results for MK-proximal contractions on ordered sets	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Best proximity point; partially ordered set; metric space; MK-proximal contraction; fixed point	THEOREMS; CONVERGENCE; EXISTENCE	We discuss the existence and uniqueness of solutions to the minimization problem min(x is an element of A) d(x, Tx), where A, B are nonempty subsets of a partially ordered set X endowed with a metric d, and T : A -> B is a non-self-mapping satisfying a proximal contraction of Meir-Keeler type (MK-proximal contraction). An iterative algorithm is also provided to approximate the optimal solution. As particular cases of our obtained results, various fixed point theorems on a metric space endowed with a partial order are deduced.	[Jleli, Mohamed; Samet, Bessem] King Saud Univ, Dept Math, Riyadh, Saudi Arabia	Jleli, M (reprint author), King Saud Univ, Dept Math, Riyadh, Saudi Arabia.	jleli@ksu.edu.sa; bsamet@ksu.edu.sa	Jleli, Mohamed/D-5799-2015; Samet, Bessem/D-3465-2015	Jleli, Mohamed/0000-0002-6095-5875; Samet, Bessem/0000-0002-6769-3417	Research Center, College of Science, King Saud University	This work is supported by the Research Center, College of Science, King Saud University.		22	5	5	0	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	JUN	2015	17	2					439	452		10.1007/s11784-013-0125-4				14	Mathematics, Applied; Mathematics	Mathematics	CT7ZR	WOS:000363035000013					2019-08-07	
J	Takahashi, W; Wong, NC; Yao, JC				Takahashi, Wataru; Wong, Ngai-Ching; Yao, Jen-Chih			Attractive points and Halpern-type strong convergence theorems in Hilbert spaces	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS			English	Article						Attractive point; fixed point; generalized hybrid mapping; Halpern-type iteration; nonexpansive mapping	GENERALIZED HYBRID MAPPINGS; NONEXPANSIVE-MAPPINGS; FIXED-POINTS; NONLINEAR MAPPINGS; BANACH-SPACES; APPROXIMATION; WEAK	In this paper, using the concept of attractive points of a nonlinear mapping, we obtain a strong convergence theorem of Halpern's type [Bull. Amer. Math. Soc. 73 (1967), 957-961] for a wide class of nonlinear mappings which contains nonexpansive mappings, nonspreading mappings and hybrid mappings in a Hilbert space. Using this result, we obtain well-known and new strong convergence theorems of Halpern's type in a Hilbert space. In particular, we solve a problem posed by Kurokawa and Takahashi [Nonlinear Anal. 73 (2010), 1562-1568].	[Takahashi, Wataru; Wong, Ngai-Ching] Natl Sun Yat Sen Univ, Dept Appl Math, Kaohsiung 80424, Taiwan; [Takahashi, Wataru] Tokyo Inst Technol, Dept Math & Comp Sci, Tokyo 1528552, Japan; [Yao, Jen-Chih] Kaohsiung Med Univ, Ctr Fundamental Sci, Kaohsiung 80702, Taiwan	Takahashi, W (reprint author), Natl Sun Yat Sen Univ, Dept Appl Math, Kaohsiung 80424, Taiwan.	wataru@is.titech.ac.jp; wong@math.nsysu.edu.tw; yaojc@kmu.edu.tw	Wong, Ngai-Ching/A-8560-2013	Wong, Ngai-Ching/0000-0002-1445-5335	Japan Society for the Promotion of Science [23540188]; Taiwan NSC [99-2115-M-110-007-MY3, 99-2115-M-037-002-MY3]	The first author was partially supported by Grant-in-Aid for Scientific Research No. 23540188 from Japan Society for the Promotion of Science. The second and the third authors were partially supported by the Taiwan NSC grant 99-2115-M-110-007-MY3 and the Taiwan NSC grant 99-2115-M-037-002-MY3, respectively.		18	5	5	0	7	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1661-7738	1661-7746		J FIX POINT THEORY A	J. Fixed Point Theory Appl.	JUN	2015	17	2					301	311		10.1007/s11784-013-0142-3				11	Mathematics, Applied; Mathematics	Mathematics	CT7ZR	WOS:000363035000003					2019-08-07	
