PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Toth, CD				Toth, Csaba D.			The Szemeredi-Trotter theorem in the complex plane	COMBINATORICA			English	Article							GEOMETRY; ARRANGEMENTS; CURVES; NUMBER	It is shown that n points and e lines in the complex Euclidean plane a",(2) determine O(n (2/3) e (2/3) + n + e) point-line incidences. This bound is the best possible, and it generalizes the celebrated theorem by Szemer,di and Trotter about point-line incidences in the real Euclidean plane R-2.	[Toth, Csaba D.] Calif State Univ Northridge, Dept Math, Los Angeles, CA 91330 USA; [Toth, Csaba D.] Tufts Univ, Dept Comp Sci, Medford, MA 02155 USA; [Toth, Csaba D.] Eotvos Lorand Univ, Budapest, Hungary	Toth, CD (reprint author), Calif State Univ Northridge, Dept Math, Los Angeles, CA 91330 USA.	cdtoth@acm.org						22	18	19	0	1	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	FEB	2015	35	1					95	126		10.1007/s00493-014-2686-2				32	Mathematics	Mathematics	CH1LR	WOS:000353783600005					2019-08-07	
J	Ceballos, C; Santos, F; Ziegler, GM				Ceballos, Cesar; Santos, Francisco; Ziegler, Guenter M.			MANY NON-EQUIVALENT REALIZATIONS OF THE ASSOCIAHEDRON	COMBINATORICA			English	Article							GENERALIZED ASSOCIAHEDRA; SORTABLE ELEMENTS; POLYTOPE	Hohlweg and Lange (2007) and Santos (2004, unpublished) have found two different ways of constructing exponential families of realizations of the n-dimensional associahedron with normal vectors in {0, +/- 1}(n), generalizing the constructions of Loday (2004) and Chapoton-Fomin-Zelevinsky (2002). We classify the associahedra obtained by these constructions modulo linear equivalence of their normal fans and show, in particular, that the only realization that can be obtained with both methods is the Chapoton-Fomin-Zelevinsky (2002) associahedron. For the Hohlweg-Lange associahedra our classification is a priori coarser than the classification up to isometry of normal fans, by Bergeron-Hohlweg-Lange-Thomas (2009). However, both yield the same classes. As a consequence, we get that two Hohlweg-Lange associahedra have linearly equivalent normal fans if and only if they are isometric. The Santos construction, which produces an even larger family of associahedra, appears here in print for the first time. Apart of describing it in detail we relate it with the c-cluster complexes and the denominator fans in cluster algebras of type A. A third classical construction of the associahedron, as the secondary polytope of a convex n-gon (Gelfand-Kapranov-Zelevinsky, 1990), is shown to never produce a normal fan linearly equivalent to any of the other two constructions.	[Ceballos, Cesar] York Univ, Dept Math & Stat, N York, ON M3J 1P3, Canada; [Santos, Francisco] Univ Cantabria, Fac Ciencias, E-39005 Santander, Spain; [Ziegler, Guenter M.] FU Berlin, Inst Math, D-14195 Berlin, Germany	Ceballos, C (reprint author), York Univ, Dept Math & Stat, 4700 Keele St, N York, ON M3J 1P3, Canada.	ceballos@mathstat.yorku.ca; francisco.santos@unican.es; ziegler@math.fu-berlin.de	Ceballos, Cesar/N-2847-2016	Ceballos, Cesar/0000-0002-7348-3248	DFG via Research Training Group "Methods for Discrete Structures"; Berlin Mathematical School; Spanish Ministry of Science [MTM2008-04699-C03-02, MTM2011-22792, CSD2006-00032]; MICINN-ESF EURO-CORES [EUI-EURC-2011-4306]; DFG; ERC [247029]	The first author was supported by DFG via the Research Training Group "Methods for Discrete Structures" and the Berlin Mathematical School; the second author was partially supported by the Spanish Ministry of Science under grants MTM2008-04699-C03-02, MTM2011-22792 and CSD2006-00032 (i-MATH) and by MICINN-ESF EURO-CORES programme EuroGIGA - ComPoSe - IP04 (Project EUI-EURC-2011-4306); the third author was partially supported by DFG and by ERC Advanced Grant "SDModels" (agreement no. 247029). We are grateful to Anton Dochterman, Vincent Pilaud, and in particular Carsten Lange for helpful discussions and comments. We also very much appreciate extensive critical comments by two referees: The revision based on their recommendations has substantially improved this paper.		44	17	17	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	OCT	2015	35	5					513	551		10.1007/s00493-014-2959-9				39	Mathematics	Mathematics	DA3HK	WOS:000367687600001					2019-08-07	
J	Abert, M; Hubai, T				Abert, Miklos; Hubai, Tamas			Benjamini-Schramm convergence and the distribution of chromatic roots for sparse graphs	COMBINATORICA			English	Article							PARTITION-FUNCTION; POTTS-MODEL; ZEROS; POLYNOMIALS	We define the chromatic measure of a finite simple graph as the uniform distribution on its chromatic roots. We show that for a Benjamini-Schramm convergent sequence of finite graphs, the chromatic measures converge in holomorphic moments. As a corollary, for a convergent sequence of finite graphs, we prove that the normalized log of the chromatic polynomial converges to an analytic function outside a bounded disc. This generalizes a recent result of Borgs, Chayes, Kahn and Lovasz, who proved convergence at large enough positive integers and answers a question of Borgs. Our methods also lead to explicit estimates on the number of proper colorings of graphs with large girth.	[Abert, Miklos; Hubai, Tamas] Hungarian Acad Sci, Alfred Renyi Inst Math, H-1053 Budapest, Hungary; [Hubai, Tamas] Eotvos Lorand Univ, Dept Comp Sci, H-1117 Budapest, Hungary	Abert, M (reprint author), Hungarian Acad Sci, Alfred Renyi Inst Math, H-1053 Budapest, Hungary.	karinthy@gmail.com; hubai.tamas@renyi.mta.hu						13	8	9	0	4	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	APR	2015	35	2					127	151		10.1007/s00493-014-3066-7				25	Mathematics	Mathematics	CI3BR	WOS:000354622900001		Green Accepted			2019-08-07	
J	Bansal, N; Pendavingh, RA; van der Pol, JG				Bansal, Nikhil; Pendavingh, Rudi A.; van der Pol, Jorn G.			ON THE NUMBER OF MATROIDS	COMBINATORICA			English	Article							CONSTANT WEIGHT CODES	We consider the problem of determining m, the number of matroids on n elements. The best known lower bound on m is due to Knuth (1974) who showed that log log m is at least n - 3/2 log n - O(1). On the other hand, Piff (1973) showed that log log m <= n log n + log log n + O(1), and it has been conjectured since that the right answer is perhaps closer to Knuth's bound. We show that this is indeed the case, and prove an upper bound on log log m that is within an additive 1+0(1) term of Knuth's lower bound. Our proof is based on using some structural properties of non-bases in a matroid together with some properties of stable sets in the Johnson graph to give a compressed representation of matroids.	[Bansal, Nikhil; Pendavingh, Rudi A.; van der Pol, Jorn G.] Eindhoven Univ Technol, NL-5600 MB Eindhoven, Netherlands	Bansal, N (reprint author), Eindhoven Univ Technol, POB 513, NL-5600 MB Eindhoven, Netherlands.	bansal@gmail.com; R.A.Pendavingh@tue.nl; j.g.v.d.pol@tue.nl			Netherlands Organisation for Scientific Research (NWO) [639.022.211, 613.001.211]	This research has been supported by the Netherlands Organisation for Scientific Research (NWO) grant 639.022.211 and 613.001.211.		27	7	7	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	APR	2015	35	3					253	277		10.1007/s00493-014-3029-z				25	Mathematics	Mathematics	CM1SW	WOS:000357461600001					2019-08-07	
J	Rinot, A				Rinot, Assaf			Chromatic numbers of graphs - large gaps	COMBINATORICA			English	Article								We say that a graph G is (a"mu(0),kappa)-chromatic if Chr(G) = kappa, while Chr(G') a parts per thousand currency sign a"mu(0) for any subgraph G' of G of size < |G|. The main result of this paper reads as follows. If a-(lambda)+CH lambda holds for a given uncountable cardinal lambda, then for every cardinal kappa a parts per thousand currency sign lambda, there exists an (a"mu(0),kappa)-chromatic graph of size lambda(+). We also study (a"mu(0),lambda(+))-chromatic graphs of size lambda(+). In particular, it is proved that if 0 (#) does not exist, then for every singular strong limit cardinal lambda, there exists an (a"mu(0),lambda(+))-chromatic graph of size lambda(+).	[Rinot, Assaf] Fields Inst Res Math Sci, Toronto, ON M5T 3J1, Canada; [Rinot, Assaf] Univ Toronto, Dept Math, Toronto, ON M5S 2E4, Canada	Rinot, A (reprint author), Fields Inst Res Math Sci, Toronto, ON M5T 3J1, Canada.	rinotas@math.biu.ac.il						16	6	6	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	APR	2015	35	2					215	233		10.1007/s00493-014-3074-7				19	Mathematics	Mathematics	CI3BR	WOS:000354622900005					2019-08-07	
J	Kierstead, HA; Kostochka, AV				Kierstead, H. A.; Kostochka, A. V.			A refinement of a result of Corradi and Hajnal	COMBINATORICA			English	Article							MAXIMUM DEGREE; GRAPHS; THEOREM	Corradi and Hajnal proved that for every k a parts per thousand yen 1 and n a parts per thousand yen 3k, every n-vertex graph with minimum degree at least 2k contains k vertex-disjoint cycles. This implies that every 3k-vertex graph with maximum degree at most k - 1 has an equitable k-coloring. We prove that for sa{3,4} if an sk-vertex graph G with maximum degree at most k has no equitable k-coloring, then G either contains K (k+1) or k is odd and G contains K (k,k) . This refines the above corollary of the Corradi-Hajnal Theorem and also is a step toward the conjecture by Chen, Lih, and Wu that for r a parts per thousand yen 3, the only connected graphs with maximum degree at most r that are not equitably r-colorable are K (r,r) (for odd r) and K (r+1).	[Kierstead, H. A.] Arizona State Univ, Sch Math & Stat Sci, Tempe, AZ 85287 USA; [Kostochka, A. V.] Univ Illinois, Dept Math, Urbana, IL 61801 USA; [Kostochka, A. V.] Russian Acad Sci, Inst Math, Novosibirsk 630090, Russia	Kierstead, HA (reprint author), Arizona State Univ, Sch Math & Stat Sci, Tempe, AZ 85287 USA.	kierstead@asu.edu; kostochk@math.uiuc.edu	Kostochka, Alexandr/A-6178-2017		NSA [H98230-12-1-0212]; NSF [DMS-0965587]; Russian Foundation for Basic Research [12-01-00448, 12-01-00631]	Research of this author is supported in part by NSA grant H98230-12-1-0212.; Research of this author is supported in part by NSF grant DMS-0965587 and by grants 12-01-00448 and 12-01-00631 of the Russian Foundation for Basic Research.		22	5	5	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	AUG	2015	35	4					497	512		10.1007/s00493-014-3059-6				16	Mathematics	Mathematics	CP7TD	WOS:000360090100005					2019-08-07	
J	Soberon, P				Soberon, Pablo			Equal coefficients and tolerance in coloured Tverberg partitions	COMBINATORICA			English	Article							THEOREM; CONJECTURE; NUMBER; COMPLEXES	The coloured Tverberg theorem was conjectured by Barany, Lovasz and Furedi [4] and asks whether for any d+1 sets (considered as colour classes) of k points each in a"e (d) there is a partition of them into k colourful sets whose convex hulls intersect. This is known when d=1;2 [5] or k+1 is prime [7]. In this paper we show that (k-1)d+1 colour classes are necessary and sufficient if the coefficients in the convex combination in the colourful sets are required to be the same in each class. This result is actually a generalisation of Tverberg's classic theorem on the intersection of convex hulls [27]. We also examine what happens if we want the convex hulls of the colourful sets to intersect even if we remove any r of the colour classes, and its relation to other colourful variants of Tverberg's theorem. We investigate the relation of the case k=2 and the Gale transform, obtaining a variation of the coloured Radon theorem. We then show applications of these results to purely combinatorial problems.	UCL, Dept Math, London WC1E 6BT, England	Soberon, P (reprint author), UCL, Dept Math, Gower Sreet, London WC1E 6BT, England.	pablo.soberon@ciencias.unam.mx		Soberon, Pablo/0000-0003-2347-4279	ERC [267165]	Partially supported by ERC Advanced Research Grant no 267165 (DISCONV)		31	5	5	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	APR	2015	35	2					235	252		10.1007/s00493-014-2969-7				18	Mathematics	Mathematics	CI3BR	WOS:000354622900006					2019-08-07	
J	Shapira, A; Sudakov, B				Shapira, Asaf; Sudakov, Benny			Small complete minors above the extremal edge density	COMBINATORICA			English	Article							GRAPHS	A fundamental result of Mader from 1972 asserts that a graph of high average degree contains a highly connected subgraph with roughly the same average degree. We prove a lemma showing that one can strengthen Mader's result by replacing the notion of high connectivity by the notion of vertex expansion. Another well known result in graph theory states that for every integer t there is a smallest real c(t), such that every n-vertex graph with c(t) n edges contains a K (t) -minor. Fiorini, Joret, Theis and Wood asked whether every n-vertex graph G that has at least (c(t)+epsilon)n edges, must contain a K (t) -minor of order at most C(epsilon) logn. We use our extension of Mader's theorem to prove that such a graph G must contain a K (t) -minor of order at most C(epsilon) lognlognlogn. Known constructions of graphs with high girth show that this result is tight up to the log logn factor.	[Shapira, Asaf] Tel Aviv Univ, Sch Math, IL-69978 Tel Aviv, Israel; [Shapira, Asaf] Georgia Inst Technol, Sch Math, Atlanta, GA 30332 USA; [Shapira, Asaf] Georgia Inst Technol, Sch Comp Sci, Atlanta, GA 30332 USA; [Sudakov, Benny] ETH, Dept Math, CH-8092 Zurich, Switzerland	Shapira, A (reprint author), Tel Aviv Univ, Sch Math, IL-69978 Tel Aviv, Israel.	asafico@tau.ac.il; benjamin.sudakov@math.ethz.ch			NSF [DMS-0901355, DMS-1101185]; ISF [224/11]; Marie-Curie CIG [303320]; AFOSR MURI [FA9550-10-1-0569]; USA-Israel BSF grant	Supported in part by NSF Grant DMS-0901355, ISF Grant 224/11 and a Marie-Curie CIG Grant 303320.; Research supported in part by NSF grant DMS-1101185, by AFOSR MURI grant FA9550-10-1-0569 and by a USA-Israel BSF grant.		25	5	5	0	1	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	FEB	2015	35	1					75	94		10.1007/s00493-015-3013-2				20	Mathematics	Mathematics	CH1LR	WOS:000353783600004					2019-08-07	
J	Schoen, T				Schoen, Tomasz			New bounds in Balog-Szemer,di-Gowers theorem	COMBINATORICA			English	Article								We prove, in particular, that every finite subset A of an abelian group with the additive energy kappa|A|(3) contains a set A' such that |A'|a parts per thousand <<kappa|A| and |A' - A'|a parts per thousand(a)kappa (-4)|A'|.	[Schoen, Tomasz] Adam Mickiewicz Univ, Fac Math & Comp Sci, PL-61614 Poznan, Poland	Schoen, T (reprint author), Adam Mickiewicz Univ, Fac Math & Comp Sci, Umultowska 87, PL-61614 Poznan, Poland.	schoen@amu.edu.pl			NCN [2012/07/B/ST1/03556]	The author is supported by NCN grant 2012/07/B/ST1/03556.		7	4	4	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	DEC	2015	35	6					695	701		10.1007/s00493-014-3077-4				7	Mathematics	Mathematics	DA3HP	WOS:000367688100004					2019-08-07	
J	Viola, E				Viola, Emanuele			The communication complexity of addition	COMBINATORICA			English	Article							CONSTANT-DEPTH CIRCUITS; PSEUDORANDOM FUNCTIONS; CONSTRUCTIONS; POLYNOMIALS; MAJORITY; PROOFS; SPACES; GATES; BITS	Suppose each of ka parts per thousand currency signn (o(1)) players holds an n-bit number x (i) in its hand. The players wish to determine if a (ia parts per thousand currency signk) x (i) =s. We give a public-coin protocol with error 1% and communication O(k logk). The communication bound is independent of n, and for ka parts per thousand yen3 improves on the O(k logn) bound by Nisan (Bolyai Soc. Math. Studies; 1993). Our protocol also applies to addition modulo m. In this case we give a matching (public-coin) Omega(k logk) lower bound for various m. We also obtain some lower bounds over the integers, including Omega (k log logk) for protocols that are one-way, like ours. We give a protocol to determine if ax (i) > s with error 1% and communication O(k logk) log n. For ka parts per thousand yen3 this improves on Nisan's O(k log(2) n) bound. A similar improvement holds for computing degree-(k-1) polynomial-threshold functions in the number-on-forehead model. We give a (public-coin, 2-player, tight) Omega(logn) lower bound to determine if x (1) > x (2). This improves on the Omega(aelogn) bound by Smirnov (1988). Troy Lee informed us in January 2013 that an Omega(logn) lower bound may also be obtained by combining a result in learning theory by Forster et al. (2003) with a result by Linial and Shraibman (2009). As an application, we show that polynomial-size AC(0) circuits augmented with O(1) threshold (or symmetric) gates cannot compute cryptographic pseudorandom functions, extending the result about AC(0) by Linial, Mansour, and Nisan (J. ACM; 1993).	[Viola, Emanuele] Northeastern Univ, Boston, MA 02115 USA	Viola, E (reprint author), Northeastern Univ, Boston, MA 02115 USA.	viola@ccs.neu.edu			NSF [CCF-0845003, CCF-1319206]	Supported by NSF grants CCF-0845003, CCF-1319206.		49	4	4	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0209-9683	1439-6912		COMBINATORICA	Combinatorica	DEC	2015	35	6					703	747		10.1007/s00493-014-3078-3				45	Mathematics	Mathematics	DA3HP	WOS:000367688100005					2019-08-07	
