PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Eklund, M; Norinder, U; Boyer, S; Carlsson, L				Eklund, Martin; Norinder, Ulf; Boyer, Scott; Carlsson, Lars			The application of conformal prediction to the drug discovery process	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						QSAR; Conformal prediction; Drug discovery; Temporal model updating	SIGNATURE MOLECULAR DESCRIPTOR; EXTENDED VALENCE SEQUENCES; QSAR	QSAR modeling is a method for predicting properties, e.g. the solubility or toxicity, of chemical compounds using machine learning techniques. QSAR is in widespread use within the pharmaceutical industry to prioritize compounds for experimental testing or to alert for potential toxicity during the drug discovery process. However, the confidence or reliability of predictions from a QSAR model are difficult to accurately assess. We frame the application of QSAR to preclinical drug development in an off-line inductive conformal prediction framework and apply it prospectively to historical data collected from four different assays within AstraZeneca over a time course of about five years. The results indicate weakened validity of the conformal predictor due to violations of the randomness assumption. The validity can be strengthen by adopting semi-off-line conformal prediction. The non-randomness of the data prevents exactly valid predictions but comparisons to the results of a traditional QSAR procedure applied to the same data indicate that conformal predictions are highly useful in the drug discovery process.	[Eklund, Martin] Uppsala Univ, Pharmaceut Biosci, S-75124 Uppsala, Sweden; [Eklund, Martin; Boyer, Scott; Carlsson, Lars] AstraZeneca Res & Dev, S-43183 Molndal, Sweden; [Norinder, Ulf] H Lundbeck & Co AS, DK-2500 Valby, Denmark	Eklund, M (reprint author), Uppsala Univ, Pharmaceut Biosci, POB 591, S-75124 Uppsala, Sweden.	martin.eklund@farmbio.uu.se; ulfn@lundbeck.com; scott.boyer@astrazeneca.com; lars.a.carlsson@astrazeneca.com		Norinder, Ulf/0000-0003-3107-331X				23	23	23	0	9	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	JUN	2015	74	1-2					117	132		10.1007/s10472-013-9378-2				16	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CJ8JZ	WOS:000355747600007					2019-08-07	
J	Nagy, B				Nagy, Benedek			Cellular topology and topological coordinate systems on the hexagonal and on the triangular grids	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Uniform coordinate systems; Hexagonal grid; Triangular grid; Topology; Digital geometry; Cell complexes	ALGORITHMS; DISTANCE	In this paper we use symmetric coordinate systems for the hexagonal and the triangular grids (that are dual of each other). We present new coordinate systems by extending the symmetric coordinate systems that are appropriate to address elements (cells) of cell complexes. Coordinate triplets are used to address the hexagon/triangle pixels, their sides (the edges between the border of neighbour pixels) and the points at the corners of the hexagon/triangle pixels. Properties of the coordinate systems are detailed, lines (zig-zag lines) and lanes (hexagonal stepping lanes) are defined on the triangular (resp. hexagonal) grid by fixing a coordinate value. The bounding relation of the cells can easily be captured by the coordinate values. To illustrate the utility of these coordinate systems some topological algorithms, namely collapses and cuts are presented.	[Nagy, Benedek] Eastern Mediterranean Univ, Fac Arts & Sci, Dept Math, TR-10 North Cyprus, Mersin, Turkey; [Nagy, Benedek] Univ Debrecen, Fac Informat, Dept Comp Sci, H-4010 Debrecen, Hungary	Nagy, B (reprint author), Univ Debrecen, Fac Informat, Dept Comp Sci, POB 12, H-4010 Debrecen, Hungary.	nbenedek@inf.unideb.hu	Nagy, Benedek/N-8965-2019; Nagy, Benedek/P-3006-2016	Nagy, Benedek/0000-0002-9494-6440; Nagy, Benedek/0000-0002-9494-6440	European Social Fund; European Regional Development Fund;  [TAMOP-4.2.2/C-11/1/KONV-2012-0001]	The author thanks the anonymous referees for their useful remarks and suggestions. The research was partly supported by the TAMOP-4.2.2/C-11/1/KONV-2012-0001 project. The project is implemented through the New Hungary Development Plan, co-financed by the European Social Fund and the European Regional Development Fund.		29	13	13	0	0	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	OCT	2015	75	1-2					117	134		10.1007/s10472-014-9404-z				18	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CR6IS	WOS:000361450200007					2019-08-07	
J	Vovk, V				Vovk, Vladimir			Cross-conformal predictors	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Conformal predictors; Cross-validation; Inductive conformal predictors; Tolerance regions		Inductive conformal predictors have been designed to overcome the computational inefficiency exhibited by conformal predictors for many underlying prediction algorithms. Whereas computationally efficient, inductive conformal predictors sacrifice different parts of the training set at different stages of prediction, which affects their informational efficiency. This paper introduces the method of cross-conformal prediction, which is a hybrid of the methods of inductive conformal prediction and cross-validation, and studies its validity and informational efficiency empirically. The computational efficiency of cross-conformal predictors is comparable to that of inductive conformal predictors, and they produce valid predictions in our empirical studies.	Univ London, Comp Learning Res Ctr, Dept Comp Sci, Egham, Surrey, England	Vovk, V (reprint author), Univ London, Comp Learning Res Ctr, Dept Comp Sci, Egham, Surrey, England.	v.vovk@rhul.ac.uk		Vovk, Vladimir/0000-0003-2602-6877	Cyprus Research Promotion Foundation	An extended abstract of an early version of this paper was published in the Proceedings of the Fifth Workshop on Information Theoretic Methods in Science and Engineering (WITMSE 2012, Amsterdam, August 2012, http://event.cwi.nl/witmse2012/proc.pdf). This work was partially supported by the Cyprus Research Promotion Foundation.		20	11	13	1	3	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	JUN	2015	74	1-2					9	28		10.1007/s10472-013-9368-4				20	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CJ8JZ	WOS:000355747600002					2019-08-07	
J	Thieu, QT; Luong, M; Rocchisani, JM; Sirakov, NM; Viennet, E				Thieu, Quang Tung; Luong, Marie; Rocchisani, Jean-Marie; Sirakov, Nikolay Metodiev; Viennet, Emmanuel			Efficient segmentation with the convex local-global fuzzy Gaussian distribution active contour for medical applications	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Convexity; Fuzzy energy function; Intensity inhomogeneity; Intervals of confidence	MODEL; VOLUME; ENERGY	A new active contour (LGFGD) was developed in our earlier conference paper. This contour uses local and global information along with Gaussian distribution. The present paper derives the main LGFGD equation and investigates its parameters sigma, lambda and m. Specific values are determined (for sigma, lambda, m) to ensure high accuracy of segmentation of medical images containing nonhomogeneous and noisy regions with week boundaries. To validate the model, a new set of experiments was performed with new images including 24 skin lesion images with ground truth. Thus, a statistic of the LGFGD performance was calculated regarding the model's interval of confidence. Comparison with contemporary methods from the field is provided as well.	[Thieu, Quang Tung; Luong, Marie; Viennet, Emmanuel] Univ Paris 13, Lab L2TI, F-93430 Villetaneuse, France; [Rocchisani, Jean-Marie] Univ Hosp Paris Seine St Denis, F-93000 Bobigny, France; [Rocchisani, Jean-Marie] Univ Paris 13, LAGA Lab, F-93430 Villetaneuse, France; [Sirakov, Nikolay Metodiev] Texas A&M Univ, Dept Math, Dept Comp Sci, Commerce, TX 75429 USA	Thieu, QT (reprint author), Univ Paris 13, Lab L2TI, 99 Ave Jean Baptiste Clement, F-93430 Villetaneuse, France.	tungthieuquang@gmail.com; marie.luong@univ-paris13.fr; rocchisani@univ-paris13.fr; Nikolay.Sirakov@tamuc.edu; emmanuel.viennet@univ-paris13.fr						21	9	11	0	9	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	OCT	2015	75	1-2					249	266		10.1007/s10472-014-9413-y				18	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CR6IS	WOS:000361450200013					2019-08-07	
J	Fernau, H; Freund, R; Schmid, ML; Subramanian, KG; Wiederhold, P				Fernau, Henning; Freund, Rudolf; Schmid, Markus L.; Subramanian, K. G.; Wiederhold, Petra			Contextual array grammars and array P systems	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Two-dimensional arrays; Array grammars; Contextual array rules; Array P systems		Contextual array grammars, with selectors not having empty cells, are considered. A P system model, called contextual array P system, that makes use of array objects and contextual array rules, is introduced and its generative power for the description of picture arrays is examined. A main result of the paper is that there is a proper infinite hierarchy with respect to the classes of languages described by contextual array P systems. Such a hierarchy holds as well in the case when the selector is also endowed with the #-sensing ability.	[Fernau, Henning; Schmid, Markus L.] Univ Trier, Abt Informatikwissensch FB 4, D-54296 Trier, Germany; [Freund, Rudolf] Tech Univ Wien, Inst Comp Sprachen, A-1040 Vienna, Austria; [Subramanian, K. G.] Univ Sains Malaysia, Sch Comp Sci, George Town 11800, Malaysia; [Wiederhold, Petra] IPN, CINVESTAV, Dept Control Automat, Mexico City 07000, DF, Mexico	Subramanian, KG (reprint author), Univ Sains Malaysia, Sch Comp Sci, George Town 11800, Malaysia.	kgsmani1948@yahoo.com	Subramanian, K. G./I-1144-2012		FRGS of the Ministry of Higher Education, Malaysia [203/PKOMP/6711267]; German Academic Exchange Service (DAAD); CONACYT Mexico [CB-2011-01-166223]; project "Universitat der Grossregion - UniGR"	K.G. Subramanian gratefully acknowledges partial support for this research from a FRGS grant No. 203/PKOMP/6711267 of the Ministry of Higher Education, Malaysia, and support by the project "Universitat der Grossregion - UniGR" that in particular enabled his visit at the University of Trier. Markus L. Schmid was partially supported by a scholarship of the German Academic Exchange Service (DAAD) for returning scientists. Petra Wiederhold is grateful to CONACYT Mexico for partial support from grant No. CB-2011-01-166223. We appreciate the efficient work of the referees.		28	7	7	0	1	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	OCT	2015	75	1-2					5	26		10.1007/s10472-013-9388-0				22	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CR6IS	WOS:000361450200002					2019-08-07	
J	Kardos, P; Palagyi, K				Kardos, Peter; Palagyi, Kalman			Topology preservation on the triangular grid	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Discrete geometry; Digital topology; Topology preservation; Triangular grid	PARALLEL THINNING ALGORITHMS; ARRAYS	There are exactly three regular planar grids, which are formed by tiling the 2-dimensional Euclidean space with regular triangles, squares, and hexagons. The topology of the square grid is well-understood, but it cannot be said of the remaining two regular sampling schemes. This work deals with the topological properties of digital binary pictures sampled on the triangular grid. Some characterizations of simple pixels and sufficient conditions for topology preserving operators are reported. These results provide the theoretical background to various topological algorithms including thinning, shrinking, generating discrete Voronoi diagrams, and contour smoothing on the triangular grid.	[Kardos, Peter; Palagyi, Kalman] Univ Szeged, Dept Image Proc & Comp Graph, Szeged, Hungary	Palagyi, K (reprint author), Univ Szeged, Dept Image Proc & Comp Graph, Szeged, Hungary.	pkardos@inf.u-szeged.hu; palagyi@inf.u-szeged.hu	Palagyi, Kalman/M-1968-2018	Palagyi, Kalman/0000-0002-3274-7315	European Union; European Social Fund; Project title: "Telemedicine-focused research activities on the field of Mathematics, Informatics and Medical sciences" [TAMOP-4.2.2.A-11/1/KONV-2012-0073]	This work was supported by the European Union and co-funded by the European Social Fund. Project title: "Telemedicine-focused research activities on the field of Mathematics, Informatics and Medical sciences." Project number: TAMOP-4.2.2.A-11/1/KONV-2012-0073.		29	7	7	0	0	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	OCT	2015	75	1-2					53	68		10.1007/s10472-014-9426-6				16	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CR6IS	WOS:000361450200004					2019-08-07	
J	Chen, XY; Song, D; Wang, DM				Chen, Xiaoyu; Song, Dan; Wang, Dongming			Automated generation of geometric theorems from images of diagrams	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Theorem discovery; Pattern recognition; Image processing	PROBABILISTIC HOUGH TRANSFORM; RANDOMIZED ALGORITHM; DISCOVERY; LINES; SYSTEM	We propose an approach to generate geometric theorems from electronic images of diagrams automatically. The approach makes use of techniques of Hough transform to recognize geometric objects and their labels and of numeric verification to mine basic geometric relations. Candidate propositions are generated from the retrieved information by using six strategies and geometric theorems are obtained from the candidates via algebraic computation. Experiments with a preliminary implementation illustrate the effectiveness and efficiency of the proposed approach for generating nontrivial theorems from images of diagrams. This work demonstrates the feasibility of automated discovery of profound geometric knowledge from simple image data and has potential applications in geometric knowledge management and education.	[Chen, Xiaoyu] Beihang Univ, Sch Comp Sci & Engn, State Key Lab Software Dev Environm, Beijing 100191, Peoples R China; [Song, Dan] Beihang Univ, Sch Math & Syst Sci, Key Lab Math Informat & Behav Semant, Beijing 100191, Peoples R China; [Wang, Dongming] Beihang Univ, LMIB SKLSDE Sch Math & Syst Sci, Beijing 100191, Peoples R China; [Wang, Dongming] Ctr Natl Rech Sci, F-75794 Paris 16, France	Chen, XY (reprint author), Beihang Univ, Sch Comp Sci & Engn, State Key Lab Software Dev Environm, Beijing 100191, Peoples R China.	franknewchen@gmail.com; songdan151100@163.com; Dongming.Wang@lip6.fr	Wang, Dongming/J-2990-2012; Chen, Xiaoyu/K-6027-2012					28	7	7	0	6	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	AUG	2015	74	3-4					333	358		10.1007/s10472-014-9433-7				26	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CM1DL	WOS:000357420500004					2019-08-07	
J	Botana, F; Kovacs, Z				Botana, Francisco; Kovacs, Zoltan			A Singular web service for geometric computations	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Web services; Dynamic geometry; Parametric polynomial systems; Geometric loci; Envelopes	DYNAMIC GEOMETRY; DISCOVERY	Outsourcing algebraic computations in dynamic geometry tools is a possible strategy used when software distribution constraints apply. If the target user machine has hardware limitations, or if the computer algebra system cannot be easily (or legally) packaged inside the geometric software, this approach can solve current shortcomings in dynamic environments.We report the design and implementation of a web service using Singular, a program specialized in ideal theory and commutative algebra. Besides its canonical address, a virtual appliance and a port to a low-cost ARM based computer are also provided. Any interactive geometric environment can then outsource computations where Singular is used, and incorporate their results into the system. In particular, we illustrate the capabilities of the web service by extending current abilities of GeoGebra to deal with algebraic loci and envelopes by means of a recent algorithm for studying parametric polynomial systems.	[Botana, Francisco] Univ Vigo, Dept Appl Math 1, Pontevedra 36005, Spain; [Kovacs, Zoltan] Johannes Kepler Univ Linz, Dept Math Educ, A-4040 Linz, Austria	Botana, F (reprint author), Univ Vigo, Dept Appl Math 1, Campus A Xunqueira, Pontevedra 36005, Spain.	fbotana@uvigo.es; zoltan@geogebra.org		Botana, Francisco/0000-0002-0212-6470	Spanish "Ministerio de Economia y Competitividad"; European Regional Development Fund (ERDF) [MTM2011-25816-C02-02]	First author partially supported by the Spanish "Ministerio de Economia y Competitividad" and by the European Regional Development Fund (ERDF), under the Project MTM2011-25816-C02-02.		21	6	6	0	7	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	AUG	2015	74	3-4					359	370		10.1007/s10472-014-9438-2				12	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CM1DL	WOS:000357420500005					2019-08-07	
J	Hartmann, S; Kohler, H; Leck, U; Link, S; Thalheim, B; Wang, J				Hartmann, Sven; Kohler, Henning; Leck, Uwe; Link, Sebastian; Thalheim, Bernhard; Wang, Jing			Constructing Armstrong tables for general cardinality constraints and not-null constraints	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						SQL table; Incomplete database; Cardinality constraints; Null-free subschema; Implication; Inference; Armstrong database	FUNCTIONAL-DEPENDENCIES; DATABASE RELATIONS; VALUES	Integrity constraints capture relevant requirements of an application that should be satisfied by every state of the database. The theory of integrity constraints is largely a theory over relations. To make data processing more efficient, SQL permits database states to be partial bags that can accommodate incomplete and duplicate information. Integrity constraints, however, interact differently on partial bags than on the idealized special case of relations. In this current paper, we study the implication problem of the combined class of general cardinality constraints and not-null constraints on partial bags. We investigate structural properties of Armstrong tables for general cardinality constraints and not-null constraints, and prove exact conditions for their existence. For the fragment of general max-cardinality constraints, unary min-cardinality constraints and not-null constraints we show that the effort for constructing Armstrong tables is precisely exponential. For the same fragment we provide an axiomatic characterization of the implication problem. The major tool for establishing our results is the Hajnal and Szemer,di theorem on the equitable colorings of graphs.	[Hartmann, Sven] Tech Univ Clausthal, Dept Informat, Clausthal Zellerfeld, Germany; [Kohler, Henning] Massey Univ, Sch Engn & Adv Technol, Wellington, New Zealand; [Leck, Uwe] Univ Wisconsin, Dept Math & Comp Sci, Superior, WI USA; [Link, Sebastian] Univ Auckland, Dept Comp Sci, Auckland 1, New Zealand; [Thalheim, Bernhard] Univ Kiel, Dept Comp Sci, Kiel, Germany; [Wang, Jing] Inst Environm Sci & Res, Upper Hutt, New Zealand	Hartmann, S (reprint author), Tech Univ Clausthal, Dept Informat, Clausthal Zellerfeld, Germany.	sven.hartmann@tu-clausthal.de; h.koehler@massey.ac.nz; uleck@uwsuper.edu; s.link@auckland.ac.nz; thalheim@is.informatik.uni-kiel.de; jing.wang@esr.cri.nz		Wang, Jing/0000-0002-7002-2374; Link, Sebastian/0000-0002-1816-2863	Marsden fund council	This research is supported by the Marsden fund council from Government funding, administered by the Royal Society of New Zealand.		46	6	6	0	1	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	JAN	2015	73	1-2					139	165		10.1007/s10472-014-9423-9				27	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	AY6QU	WOS:000347691500006					2019-08-07	
J	Durdevic, SS; Narboux, J; Janicic, P				Durdevic, Sana Stojanovic; Narboux, Julien; Janicic, Predrag			Automated generation of machine verifiable and readable proofs: A case study of Tarski's geometry	ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE			English	Article						Automated theorem proving; Interactive theorem proving; Tarski's geometry		The power of state-of-the-art automated and interactive theorem provers has reached the level at which a significant portion of non-trivial mathematical contents can be formalized almost fully automatically. In this paper we present our framework for the formalization of mathematical knowledge that can produce machine verifiable proofs (for different proof assistants) but also human-readable (nearly textbook-like) proofs. As a case study, we focus on one of the twentieth century classics - a book on Tarski's geometry. We tried to automatically generate such proofs for the theorems from this book using resolution theorem provers and a coherent logic theorem prover. In the first experiment, we used only theorems from the book, in the second we used additional lemmas from the existing Coq formalization of the book, and in the third we used specific dependency lists from the Coq formalization for each theorem. The results show that 37 % of the theorems from the book can be automatically proven (with readable and machine verifiable proofs generated) without any guidance, and with additional lemmas this percentage rises to 42 %. These results give hope that the described framework and other forms of automation can significantly aid mathematicians in developing formal and informal mathematical knowledge.	[Durdevic, Sana Stojanovic; Janicic, Predrag] Univ Belgrade, Fac Math, Studentski Trg 16, Belgrade 11000, Serbia; [Narboux, Julien] Univ Strasbourg Pole API, UMR CNRS 7357, ICube, F-67412 Illkirch Graffenstaden, France	Durdevic, SS (reprint author), Univ Belgrade, Fac Math, Studentski Trg 16, Belgrade 11000, Serbia.	sana@matf.bg.ac.rs; narboux@unistra.fr; janicic@matf.bg.ac.rs		Janicic, Predrag/0000-0001-8922-4948	Serbian-French Technology Co-Operation grant EGIDE/"Pavle Savic" [680-00-132/2012-09/12]; Ministry of Science of Serbia [ON174021]	The research presented in this paper was partly funded by the Serbian-French Technology Co-Operation grant EGIDE/"Pavle Savic" 680-00-132/2012-09/12. The first and the third author are partly supported by the grant ON174021 of the Ministry of Science of Serbia.		37	5	5	0	1	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1012-2443	1573-7470		ANN MATH ARTIF INTEL	Ann. Math. Artif. Intell.	AUG	2015	74	3-4					249	269		10.1007/s10472-014-9443-5				21	Computer Science, Artificial Intelligence; Mathematics, Applied	Computer Science; Mathematics	CM1DL	WOS:000357420500001					2019-08-07	
