PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Aghajani, A; Mursaleen, M; Haghighi, AS				Aghajani, A.; Mursaleen, M.; Haghighi, A. Shole			FIXED POINT THEOREMS FOR MEIR-KEELER CONDENSING OPERATORS VIA MEASURE OF NONCOMPACTNESS	ACTA MATHEMATICA SCIENTIA			English	Article						Measure of noncompactness; Darbo fixed point theorem; couple fixed point; Meir-Keeler condensing operator; Volterra integral equation	FUNCTIONAL-INTEGRAL-EQUATION; ASYMPTOTIC STABILITY; METRIC-SPACES; EXISTENCE; CONTRACTIONS	In this article, we introduce the notion of Meir-Keleer condensing operator in a Banach space, a characterization using L-functions and provide a few generalization of Darbo fixed point theorem. Also, we introduce the concept of a bivariate Meir-Keleer condensing operator and prove some coupled fixed point theorems. As an application, we prove the existence of solutions for a large class of functional integral equations of Volterra type in two variables.	[Aghajani, A.] Iran Univ Sci & Technol, Sch Math, Narmak, Iran; [Mursaleen, M.] Aligarh Muslim Univ, Dept Math, Aligarh 202002, Uttar Pradesh, India; [Haghighi, A. Shole] Islamic Azad Univ, Karaj Branch, Dept Math, Alborz, Iran	Aghajani, A (reprint author), Iran Univ Sci & Technol, Sch Math, Narmak, Iran.	aghajani@iust.ac.ir; mursaleenm@gmail.com; a.sholehaghighi@kiau.ac.ir	Aghajani, Asadollah/P-3574-2018; Mursaleen, M./A-6146-2013	Aghajani, Asadollah/0000-0002-6656-113X; Mursaleen, M./0000-0003-4128-0427				27	29	30	1	6	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAY	2015	35	3					552	566		10.1016/S0252-9602(15)30003-5				15	Mathematics	Mathematics	CI3PZ	WOS:000354661200003					2019-08-07	
J	Mukhtarov, OS; Aydemir, K				Mukhtarov, Oktay Sh.; Aydemir, Kadriye			EIGENFUNCTION EXPANSION FOR STURM-LIOUVILLE PROBLEMS WITH TRANSMISSION CONDITIONS AT ONE INTERIOR POINT	ACTA MATHEMATICA SCIENTIA			English	Article						Boundary-value problems; transmission conditions; resolvent operator	BOUNDARY-VALUE-PROBLEM; EIGENVALUE PARAMETER; EIGENPARAMETER	The purpose of this article is to extend some spectral properties of regular Sturm-Liouville problems to the special type discontinuous boundary-value problem, which consists of a Sturm-Liouville equation together with eigenparameter-dependent boundary conditions and two supplementary transmission conditions. We construct the resolvent operator and Green's function and prove theorems about expansions in terms of eigenfunctions in modified Hilbert space L-2[a, b].	[Mukhtarov, Oktay Sh.] Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan; [Mukhtarov, Oktay Sh.; Aydemir, Kadriye] Gaziosmanpaqa Univ, Fac Sci, Dept Math, TR-60250 Tokat, Turkey	Mukhtarov, OS (reprint author), Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan.	omukhtarov@yahoo.com; kadriye.aydemir@gop.edu.tr						20	26	26	0	11	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAY	2015	35	3					639	649		10.1016/S0252-9602(15)30010-2				11	Mathematics	Mathematics	CI3PZ	WOS:000354661200010					2019-08-07	
J	Colombo, RM; Rossi, E				Colombo, Rinaldo M.; Rossi, Elena			RIGOROUS ESTIMATES ON BALANCE LAWS IN BOUNDED DOMAINS	ACTA MATHEMATICA SCIENTIA			English	Article						balance laws; initial-boundary value problem for balance laws	PARABOLIC EQUATIONS	The initial boundary value problem for a general balance law in a bounded domain is proved to be well posed. Indeed, we show the existence of an entropy solution, its uniqueness and its Lipschitz continuity as a function of time, of the initial datum and of the boundary datum. The proof follows the general lines in [4], striving to provide a rigorous treatment and detailed references.	[Colombo, Rinaldo M.] Univ Brescia, Unita INdAM, I-25123 Brescia, Italy; [Rossi, Elena] Univ Milano Bicocca, Dipartimento Matemat & Applicaz, I-20125 Milan, Italy	Colombo, RM (reprint author), Univ Brescia, Unita INdAM, Via Branze 38, I-25123 Brescia, Italy.	rinaldo.colombo@unibs.it; e.rossi50@campus.unimib.it	Rossi, Elena/H-7944-2014; Colombo, Rinaldo M./E-6590-2010	Rossi, Elena/0000-0002-3565-4309; Colombo, Rinaldo M./0000-0003-0459-585X	Nonlinear Hyperbolic Partial Differential Equations, Dispersive; Transport Equations: Theoretical and Applicative Aspects; INDAM-GNAMPA project Conservation Laws in the Modeling of Collective Phenomena	The present work was supported by the PRIN 2012 project Nonlinear Hyperbolic Partial Differential Equations, Dispersive and Transport Equations: Theoretical and Applicative Aspects and by the INDAM-GNAMPA 2014 project Conservation Laws in the Modeling of Collective Phenomena.		22	14	14	0	0	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	JUL	2015	35	4					906	944		10.1016/S0252-9602(15)30028-X				39	Mathematics	Mathematics	CO8BU	WOS:000359390800010					2019-08-07	
J	Xu, LP; Chen, HB				Xu, Liping; Chen, Haibo			MULTIPLICITY RESULTS FOR FOURTH ORDER ELLIPTIC EQUATIONS OF KIRCHHOFF-TYPE	ACTA MATHEMATICA SCIENTIA			English	Article						fourth order elliptic equations of Kirchhoff type; symmetric mountain pass theorem; variational methods	EXISTENCE; BEAM; POTENTIALS	In this paper, we concern with the following fourth order elliptic equations of Kirchhoff type {Delta(2)u - (a + b (R3)integral vertical bar del u vertical bar(2)dx) Delta u + V(x)u = f(x,u), x is an element of R-3, u is an element of H-2(R-3), where a, b > 0 are constants and the primitive of the nonlinearity f is of sup erlinear growth near infinity in u and is also allowed to be sign-changing. By using variational methods, we establish the existence and multiplicity of solutions. Our conditions weaken the Ambrosetti-Rabinowitz type condition.	[Xu, Liping] Henan Univ Sci & Technol, Dept Math & Stat, Luoyang 471003, Peoples R China; [Chen, Haibo] Cent S Univ, Sch Math & Stat, Changsha 410075, Hunan, Peoples R China	Chen, HB (reprint author), Cent S Univ, Sch Math & Stat, Changsha 410075, Hunan, Peoples R China.	x.liping@126.com; math_chb@csu.edu.cn			Natural Science Foundation of China [11271372]; Hunan Provincial Natural Science Foundation of China [12JJ2004]	This work was supported by Natural Science Foundation of China (11271372) and Hunan Provincial Natural Science Foundation of China (12JJ2004).		14	11	12	3	15	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	SEP	2015	35	5					1067	1076		10.1016/S0252-9602(15)30040-0				10	Mathematics	Mathematics	CS1WX	WOS:000361860700011					2019-08-07	
J	Duan, R; Jiang, F; Yin, JP				Duan, Ran; Jiang, Fei; Yin, Junping			RAYLEIGH TAYLOR INSTABILITY FOR COMPRESSIBLE ROTATING FLOWS	ACTA MATHEMATICA SCIENTIA			English	Article						Rayleigh-Taylor instability; rotation; Hadamard sense	MAGNETOHYDRODYNAMIC EQUATIONS	In this paper, we investigate the Rayleigh-Taylor instability problem for two compressible, immiscible, inviscid flows rotating with a constant angular velocity, and evolving with a free interface in the presence of a uniform gravitational field. First we construct the Rayleigh-Taylor steady-state solutions with a denser fluid lying above the free interface with the second fluid, then we turn to an analysis of the equations obtained from linearization around such a steady state. In the presence of uniform rotation, there is no natural variational framework for constructing growing mode solutions to the linearized problem. Using the general method of studying a family of modified variational problems introduced in [1], we construct normal mode solutions that grow exponentially in time with rate like e(t root c vertical bar xi vertical bar-1), where is the spatial frequency of the normal mode and the constant c depends on some physical parameters of the two layer fluids. A Fourier synthesis of these normal mode solutions allows us to construct solutions that grow arbitrarily quickly in the Sobolev space H-k, and leads to an ill-posedness result for the linearized problem. Moreover, from the analysis we see that rotation diminishes the growth of instability. Using the pathological solutions, we then demonstrate the ill-posedness for the original non-linear problem in some sense.	[Duan, Ran] Cent China Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China; [Jiang, Fei] Fuzhou Univ, Coll Math & Comp Sci, Fuzhou 361000, Peoples R China; [Yin, Junping] Inst Appl Phys & Computat Math, Beijing 100088, Peoples R China	Duan, R (reprint author), Cent China Normal Univ, Sch Math & Stat, Wuhan 430079, Peoples R China.	duanran@mail.ccnu.edu.cn; jiangfei0591@163.com; yinjp@163.com	Jiang, Fei/G-3362-2010	Jiang, Fei/0000-0002-8384-7762	NSFC [11001096, 11471134, 11101044, 11301083]; Program for Changjiang Scholars and Innovative Research Team in University [IRT13066]	The research of Ran Duan was supported by three grants from the NSFC (11001096, 11471134), Program for Changjiang Scholars and Innovative Research Team in University (IRT13066); the research of Fei Jiang and Junping Yin was supported by NSFC (11101044, 11301083).		29	9	9	0	0	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	NOV	2015	35	6					1359	1385		10.1016/S0252-9602(15)30060-6				27	Mathematics	Mathematics	CX0GE	WOS:000365374100008					2019-08-07	
J	Lin, YG; Jiang, DQ; Jin, ML				Lin, Yuguo; Jiang, Daqing; Jin, Manli			STATIONARY DISTRIBUTION OF A STOCHASTIC SIR MODEL WITH SATURATED INCIDENCE AND ITS ASYMPTOTIC STABILITY	ACTA MATHEMATICA SCIENTIA			English	Article						Diffusion process; Markov semigroups; asymptotic stability	INFECTIOUS-DISEASES; EPIDEMIC MODEL; SYSTEMS	In this article, we consider a stochastic SIR model and show that the distributions of the solutions of the system are absolutely continuous. Furthermore, we analyze long-time behaviour of densities of the distributions of the solution. We prove that the densities can converge in L-1 to an invariant density.	[Lin, Yuguo; Jin, Manli] Beihua Univ, Sch Math & Stat, Jilin 132013, Peoples R China; [Jiang, Daqing] China Univ Petr East China, Coll Sci, Qingdao 266580, Peoples R China	Lin, YG (reprint author), Beihua Univ, Sch Math & Stat, Jilin 132013, Peoples R China.	yglinoa@163.com; daqingjiang2010@hotmail.com; 64278144@qq.com	Jiang, Daqing/L-2808-2015	Jiang, Daqing/0000-0003-4131-5757	Program for Changjiang Scholars and Innovative Research Team in University; NSFC of China [11371085, 11201008]; Ph.D. Programs Foundation of Ministry of China [200918]	The work was supported by Program for Changjiang Scholars and Innovative Research Team in University, NSFC of China (11371085 and 11201008), and the Ph.D. Programs Foundation of Ministry of China (200918).		20	9	11	0	19	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAY	2015	35	3					619	629		10.1016/S0252-9602(15)30008-4				11	Mathematics	Mathematics	CI3PZ	WOS:000354661200008					2019-08-07	
J	Doha, EH; Abd-Elhameed, WM; Bassuony, MA				Doha, Eid H.; Abd-Elhameed, Waleed M.; Bassuony, Mahmoud A.			ON THE COEFFICIENTS OF DIFFERENTIATED EXPANSIONS AND DERIVATIVES OF CHEBYSHEV POLYNOMIALS OF THE THIRD AND FOURTH KINDS	ACTA MATHEMATICA SCIENTIA			English	Article						Chebyshev polynomials of the third and fourth kinds; expansion coefficients; generalized hypergeometric functions; boundary value problems	BOUNDARY-VALUE-PROBLEMS; RECURRENCE RELATIONS; ULTRASPHERICAL POLYNOMIALS; CONNECTION COEFFICIENTS; JACOBI-POLYNOMIALS; ORDER; EQUATIONS; SERIES; APPROXIMATION; FORMULAS	Two new analytical formulae expressing explicitly the derivatives of Chebyshev polynomials of the third and fourth kinds of any degree and of any order in terms of Chebyshev polynomials of the third and fourth kinds themselves are proved. Two other explicit formulae which express the third and fourth kinds Chebyshev expansion coefficients of a general-order derivative of an infinitely differentiable function in terms of their original expansion coefficients are also given. Two new reduction formulae for summing some terminating hypergeometric functions of unit argument are deduced. As an application of how to use Chebyshev polynomials of the third and fourth kinds for solving high-order boundary value problems, two spectral Galerkin numerical solutions of a special linear twelfth-order boundary value problem are given.	[Doha, Eid H.; Abd-Elhameed, Waleed M.] Cairo Univ, Fac Sci, Dept Math, Giza 12613, Egypt; [Abd-Elhameed, Waleed M.] Univ Jeddah, Fac Sci, Dept Math, Jeddah, Saudi Arabia; [Bassuony, Mahmoud A.] Fayoum Univ, Fac Sci, Dept Math, Al Fayyum 63514, Egypt	Doha, EH (reprint author), Cairo Univ, Fac Sci, Dept Math, Giza 12613, Egypt.	eiddoha@frcu.eun.eg; walee_9@yahoo.com; mab02@fayoum.edu.eg	Bassuony, Mahmoud/K-8114-2012; Doha, Eid H./L-1723-2019; Abd-Elhameed, Waleed M/E-2136-2013	Bassuony, Mahmoud/0000-0003-3977-5914; Doha, Eid H./0000-0002-7781-6871; Abd-Elhameed, Waleed M/0000-0002-6102-671X				36	8	8	0	0	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAR	2015	35	2					326	338		10.1016/S0252-9602(15)60004-2				13	Mathematics	Mathematics	CD6GP	WOS:000351187900004					2019-08-07	
J	Ye, ZA				Ye, Zhuan			A NOTE ON GLOBAL WELL-POSEDNESS OF SOLUTIONS TO BOUSSINESQ EQUATIONS WITH FRACTIONAL DISSIPATION	ACTA MATHEMATICA SCIENTIA			English	Article						Boussinesq equations; fractional Laplacian; global regularity	LIFE-SPAN; REGULARITY; SYSTEM; CRITERION; EULER	The goal of this paper is to consider the global well-posedness to n-dimensional (n >= 3) Boussinesq equations with fractional dissipation. More precisely, it is proved that there exists a unique global regular solution to the Boussinesq equations provided the real parameter a satisfies alpha >= 1/2 + n/4.	[Ye, Zhuan] Beijing Normal Univ, Sch Math Sci, Beijing 100875, Peoples R China; [Ye, Zhuan] Minist Educ, Lab Math & Complex Syst, Beijing 100875, Peoples R China	Ye, ZA (reprint author), Beijing Normal Univ, Sch Math Sci, Beijing 100875, Peoples R China.	yezhuan815@126.com			NSFC [11171026, 11371059]; BNSF [2112023]; Fundamental Research Funds for the Central Universities of China	The author was partially supported by NSFC (11171026; 11371059), BNSF (2112023) and the Fundamental Research Funds for the Central Universities of China.		33	8	9	0	4	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	JAN	2015	35	1					112	120		10.1016/S0252-9602(14)60144-2				9	Mathematics	Mathematics	AZ8TP	WOS:000348487700008					2019-08-07	
J	Bessa, M; Lee, M; Wen, X				Bessa, Mario; Lee, Manseob; Wen, Xiao			SHADOWING, EXPANSIVENESS AND SPECIFICATION FOR C-1-CONSERVATIVE SYSTEMS	ACTA MATHEMATICA SCIENTIA			English	Article						Shadowing; expansiveness; specification; generic; Anosov; volume-preserving; star systems	SYMBOLIC EXTENSIONS; PERIODIC POINTS; DIFFEOMORPHISMS; HYPERBOLICITY; STABILITY; ABUNDANCE; PROPERTY; FLOWS	We prove that a C-1-generic volume-preserving dynamical system (diffeomorphism or flow) has the shadowing property or is expansive or has the weak specification property if and only if it is Anosov. Finally, as in [10, 27], we prove that the C-1-robustness, within the volume-preserving context, of the expansiveness property and the weak specification property, imply that the dynamical system (diffeomorphism or flow) is Anosov.	[Bessa, Mario] Univ Beira Interior, P-6201001 Covilha, Portugal; [Lee, Manseob] Mokwon Univ, Dept Math, Taejon 302729, South Korea; [Wen, Xiao] Beihang Univ, Sch Math & Syst Sci, Beijing 100191, Peoples R China	Bessa, M (reprint author), Univ Beira Interior, Rua Marques Avila & Bolama, P-6201001 Covilha, Portugal.	bessa@ubi.pt; lmsds@mokwon.ac.kr; wenxiao@buaa.edu.cn		Lee, Manseob/0000-0001-9701-6508; Bessa, Mario/0000-0002-1758-2225	National Funds through FCT - "Fundacao para a Ciencia e a Tecnologia" [PEst-OE/MAT/UI0212/2011]; Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry, ICT & Future Planning [2014R1A1A1A05002124]; National Natural Science Foundation of China [11301018, 11371046]	MB was partially supported by National Funds through FCT - "Fundacao para a Ciencia e a Tecnologia", (PEst-OE/MAT/UI0212/2011); ML was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry, ICT & Future Planning (No.2014R1A1A1A05002124); XW was supported by National Natural Science Foundation of China (No.11301018 and 11371046).		50	7	7	0	5	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAY	2015	35	3					583	600		10.1016/S0252-9602(15)30005-9				18	Mathematics	Mathematics	CI3PZ	WOS:000354661200005					2019-08-07	
J	Li, W; Wang, X; Huang, NJ				Li, Wei; Wang, Xing; Huang, Nanjing			DIFFERENTIAL INVERSE VARIATIONAL INEQUALITIES IN FINITE DIMENSIONAL SPACES	ACTA MATHEMATICA SCIENTIA			English	Article						Differential inverse variational inequality; differential variational inequality; linear growth; Caratheodory weak solutions	WELL-POSEDNESS; CONVERGENCE; FORMULATION; OPERATORS; DYNAMICS	In this article, a new differential inverse variational inequality is introduced and studied in finite dimensional Euclidean spaces. Some results concerned with the linear growth of the solution set for the differential inverse variational inequalities are obtained under different conditions. Some existence theorems of Caratheodory weak solutions for the differential inverse variational inequality are also established under suitable conditions. An application to the time-dependent spatial price equilibrium control problem is also given.	[Li, Wei] Chengdu Univ Technol, Dept Appl Math, Chengdu 610059, Peoples R China; [Wang, Xing] Jiangxi Univ Finance & Econ, Sch Informat Technol, Nanchang 330013, Peoples R China; [Huang, Nanjing] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China	Li, W (reprint author), Chengdu Univ Technol, Dept Appl Math, Chengdu 610059, Peoples R China.	lovelylw@126.com; wangxing0793@163.com; nanjinghuang@hotmail.com			National Natural Science Foundation of China [11301359, 11171237]; NSFC [70831005]	The work was supported by the National Natural Science Foundation of China (11301359, 11171237) and the Key Program of NSFC (70831005).		28	7	7	0	14	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0252-9602	1572-9087		ACTA MATH SCI	Acta Math. Sci.	MAR	2015	35	2					407	422		10.1016/S0252-9602(15)60012-1				16	Mathematics	Mathematics	CD6GP	WOS:000351187900012					2019-08-07	
