PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Zhao, KH; Gong, P				Zhao, Kaihong; Gong, Ping			Existence of Positive Solutions for a Class of Higher-Order Caputo Fractional Differential Equation	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Fractional differential equation; Multiple positive solutions; Boundary value problems; Fixed point theorem		In this paper, the following nonlinear fractional ordinary differential boundary value problem {D(0+)(alpha)u(t) + lambda f(t,u(t)) + q(t) = 0, u(0) = u'(1) = u ''(0) = ... = u((n-1))(0) = 0, 0 < t < 1, is considered, where is a real number. is a parameter. is the standard Caputo differentiation. Some sufficient conditions for the existence of positive solutions to this boundary value problem of nonlinear fractional differential equation are established by nonlinear alternative of Leray-Schauder type and Guo-Krasnoselskii fixed point theorem on cones. As applications, some examples are provided to illustrate our main results.	[Zhao, Kaihong; Gong, Ping] Kunming Univ Sci & Technol, Dept Appl Math, Kunming 650093, Yunnan, Peoples R China	Zhao, KH (reprint author), Kunming Univ Sci & Technol, Dept Appl Math, Kunming 650093, Yunnan, Peoples R China.	zhaokaihongs@126.com; 18314378003@163.com		Gong, Ping/0000-0003-1935-6990	National Natural Sciences Foundation of Peoples Republic of China [11161025]; Yunnan Province natural scientific research fund project [2011FZ058]	The author would like to thank the anonymous referees for their useful and valuable suggestions. This work is supported by the National Natural Sciences Foundation of Peoples Republic of China under Grant (No. 11161025), Yunnan Province natural scientific research fund project (No. 2011FZ058).		19	20	21	4	33	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	APR	2015	14	1					157	171		10.1007/s12346-014-0121-0				15	Mathematics, Applied; Mathematics	Mathematics	CE4AN	WOS:000351772800011					2019-08-07	
J	Zada, A; Ahmad, N; Khan, IU; Khan, FM				Zada, Akbar; Ahmad, Nisar; Khan, Ihsan Ullah; Khan, Faiz Muhammad			On the Exponential Stability of Discrete Semigroups	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Exponential stability; Discrete semigroups; Periodic sequences		Let q be a positive integer and let X be a complex Banach space. We denote by Z(+) the set of all nonnegative integers. Let P-q (Z(+), X) is the set of all X-valued, q-periodic sequences. Then P-1(Z(+), X) is the set of all X-valued constant sequences. When q >= 2, we denote by P-q(0) (Z(+), X), the subspace of P-q (Z(+), X) consisting of all sequences z(.) with z(0) = 0. Let T be a bounded linear operator acting on X. It is known, that the discrete semigroup generated (from the algebraic point of view) of T, i.e. the operator valued sequence T = (T-n), is uniformly exponentially stable (i.e. limn(n ->infinity) ln parallel to T-n parallel to/n < 0), if and only if for each real number mu and each sequences z(.) in P-1(Z(+), X) the sequences (y(n)) given by {y(n+1) = T(1)y(n) + e(i mu(n+1))z(n +1), y(0) = 0 is bounded. In this paper we prove a complementary result taking P-q(0) (Z(+), X) with some integer q >= 2 instead of P-1(Z(+), X).	[Zada, Akbar; Ahmad, Nisar; Khan, Ihsan Ullah] Univ Peshawar, Dept Math, Peshawar, Pakistan; [Khan, Faiz Muhammad] Univ Swat, Dept Math & Stat, Swat, Pakistan	Zada, A (reprint author), Univ Peshawar, Dept Math, Peshawar, Pakistan.	zadababo@yahoo.com; nisarnn22@yahoo.com; ihsan_uop@yahoo.com; faiz-zady@yahoo.com	Zada, Akbar/V-3575-2019	Zada, Akbar/0000-0002-2556-2806				14	9	9	0	1	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	APR	2015	14	1					149	155		10.1007/s12346-014-0124-x				7	Mathematics, Applied; Mathematics	Mathematics	CE4AN	WOS:000351772800010					2019-08-07	
J	Liu, X; Zhang, YB; Shi, HP				Liu, Xia; Zhang, Yuanbiao; Shi, Haiping			Existence of Periodic Solutions for a Class of Nonlinear Difference Equations	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Existence; Periodic solutions; Nonlinear; Difference equations; Discrete variational theory	BOUNDARY-VALUE-PROBLEMS; HAMILTONIAN-SYSTEMS; SUBHARMONIC SOLUTIONS; HOMOCLINIC SOLUTIONS; ASYMPTOTIC-BEHAVIOR; POSITIVE SOLUTIONS; ORBITS; OSCILLATION; THEOREMS	By making use of the critical point theory, the existence of periodic solutions for a class of nonlinear difference equations is obtained. The proof is based on the saddle point theorem in combination with variational technique. The problem is to solve the existence of periodic solutions of a class of nonlinear difference equations. Results obtained complement the existing one.	[Liu, Xia] Hunan Agr Univ, Oriental Sci & Technol Coll, Changsha 410128, Hunan, Peoples R China; [Liu, Xia] Hunan Agr Univ, Coll Sci, Changsha 410128, Hunan, Peoples R China; [Zhang, Yuanbiao] Jinan Univ, Packaging Engn Inst, Zhuhai 519070, Peoples R China; [Shi, Haiping] Guangdong Construct Vocat Technol Inst, Modern Business & Management Dept, Guangzhou 510450, Guangdong, Peoples R China	Liu, X (reprint author), Hunan Agr Univ, Oriental Sci & Technol Coll, Changsha 410128, Hunan, Peoples R China.	xia991002@163.com			Specialized Research Fund for the Doctoral Program of Higher Eduction of China [20114410110002]; National Natural Science Foundation of China [11101098]; Natural Science Foundation of Guangdong Province [S2013010014460]	This project is supported by the Specialized Research Fund for the Doctoral Program of Higher Eduction of China (No. 20114410110002), National Natural Science Foundation of China (No. 11101098) and Natural Science Foundation of Guangdong Province (No. S2013010014460).		52	8	8	1	13	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	APR	2015	14	1					51	69		10.1007/s12346-014-0125-9				19	Mathematics, Applied; Mathematics	Mathematics	CE4AN	WOS:000351772800005					2019-08-07	
J	Meyer, KR; Palacian, JF; Yanguas, P				Meyer, Kenneth R.; Palacian, Jesus F.; Yanguas, Patricia			The Elusive Liapunov Periodic Solutions	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Liapunov center theorem; Periodic solutions; Hamiltonian systems in resonance; Reduced space; Orbit space; Orbifold; Singular reduction	HAMILTONIAN-SYSTEMS; TROJAN ORBITS; FAMILIES	We illustrate the use of regular and singular reduction methods in conjunction with classical perturbation theory to find periodic solutions of Hamiltonian systems. In particular, we use these methods to find families of periodic solutions when the classical Liapunov center theorem fails due to a resonance.	[Meyer, Kenneth R.] Univ Cincinnati, Dept Math Sci, Cincinnati, OH 45221 USA; [Palacian, Jesus F.; Yanguas, Patricia] Univ Publ Navarra, Dept Ingn Matemat & Informat, Pamplona 31006, Spain	Yanguas, P (reprint author), Univ Publ Navarra, Dept Ingn Matemat & Informat, Pamplona 31006, Spain.	ken.meyer@uc.edu; palacian@unavarra.es; yanguas@unavarra.es	Yanguas, Patricia/L-1671-2017	Yanguas, Patricia/0000-0001-9767-5554	Ministry of Science and Innovation of Spain [MTM 2011-28227-C02-01]; Charles Phelps Taft Foundation	The authors are partially supported by Project MTM 2011-28227-C02-01 of the Ministry of Science and Innovation of Spain and by the Charles Phelps Taft Foundation.		30	5	5	0	0	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	OCT	2015	14	2			SI		381	401		10.1007/s12346-015-0134-3				21	Mathematics, Applied; Mathematics	Mathematics	CX4SN	WOS:000365690700012					2019-08-07	
J	Bujac, C; Vulpe, N				Bujac, Cristina; Vulpe, Nicolae			Cubic Systems with Invariant Straight Lines of Total Multiplicity Eight and with Three Distinct Infinite Singularities	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Cubic differential system; Poincare compactification; Algebraic invariant curve; Configuration of invariant straight lines; Singular points; Multiplicity of an invariant straight line; Group action; Affine invariant polynomial	QUADRATIC DIFFERENTIAL-SYSTEMS; NUMBER	In this article we prove a classification theorem (Main Theorem) of real planar cubic vector fields which possess eight invariant straight lines, including the line at infinity and including their multiplicities and in addition they possess three distinct infinite singularities. This classification, which is taken modulo the action of the group of real affine transformations and time rescaling, is given in terms of affine invariant polynomials. The invariant polynomials allow one to verify for any given real cubic system whether or not it has invariant straight lines of total multiplicity eight, and to specify its configuration of straight lines endowed with their corresponding real singularities of this system. The calculations can be implemented on computer and the results can therefore be applied for any family of cubic systems in this class, given in any normal form.	[Bujac, Cristina; Vulpe, Nicolae] Moldavian Acad Sci, Inst Math & Comp Sci, Kishinev 2028, Moldova	Vulpe, N (reprint author), Moldavian Acad Sci, Inst Math & Comp Sci, 5 Acad Str, Kishinev 2028, Moldova.	crisulicica@yahoo.com; nvulpe@gmail.com		Vulpe, Nicolae/0000-0003-3211-6369	12.839.08.05F [SCSTD of ASM];  [FP7-PEOPLE-2012-IRSES-316338]	The authors are partially supported by the grant FP7-PEOPLE-2012-IRSES-316338. The second author is also partially supported by the grant 12.839.08.05F from SCSTD of ASM.		34	5	5	0	0	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	APR	2015	14	1					109	137		10.1007/s12346-014-0126-8				29	Mathematics, Applied; Mathematics	Mathematics	CE4AN	WOS:000351772800008					2019-08-07	
J	Dong, GF; Liu, CJ; Yang, JZ				Dong, Guangfeng; Liu, Changjian; Yang, Jiazhong			The Complexity of Generalized Center Problem	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Polynomial differential systems; p : -q Resonance; Saddle value; Saddle order; Generalized center	RESONANT CENTER PROBLEM; LOTKA-VOLTERRA SYSTEMS; POLYNOMIAL VECTOR-FIELDS; SINGULAR POINT; INTEGRABILITY; LINEARIZABILITY; NONLINEARITIES	In this paper, we study the complexity of generalized center problem by looking for the lower bounds of the maximal possible saddle order M(p, q, n) of planar polynomial differential equations of arbitrary degree admitting any p : -q saddle type resonance between the eigenvalues. We prove that, for any given positive integers and , and sufficiently big integer n, M(p, q, n) can grow at least as rapidly as 2n(2). This result significantly improves all the known lower bounds which are at most n(2) + O(n).	[Dong, Guangfeng] Sun Yat Sen Univ, Dept Math, Guangzhou 510275, Guangdong, Peoples R China; [Liu, Changjian] Soochow Univ, Sch Math, Suzhou 215006, Peoples R China; [Yang, Jiazhong] Peking Univ, Sch Math Sci, Beijing 100871, Peoples R China	Dong, GF (reprint author), Sun Yat Sen Univ, Dept Math, Guangzhou 510275, Guangdong, Peoples R China.	donggf@mail.sysu.edu.cn; liucj@suda.edu.cn; jyang@math.pku.edu.cn			NSFC of China [11371269, 11271026]	We are very grateful to the referee for his valuable suggestions to improve this paper. C. Liu and J. Yang are supported, resp., in part by the NSFC of China Grant 11371269 and 11271026.		24	3	3	1	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	APR	2015	14	1					11	23		10.1007/s12346-015-0131-6				13	Mathematics, Applied; Mathematics	Mathematics	CE4AN	WOS:000351772800002					2019-08-07	
J	Albouy, A				Albouy, Alain			Open Problem 1: Are Palmore's "Ignored Estimates" on the Number of Planar Central Configurations Correct?	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Editorial Material							CLASSIFYING RELATIVE EQUILIBRIA; N-BODY PROBLEM; MORSE-THEORY	We wish to draw attention on estimates on the number of relative equilibria in the Newtonian n-body problem that Julian Palmore published in 1975.	[Albouy, Alain] Observ Paris, CNRS, IMCCE, F-75014 Paris, France	Albouy, A (reprint author), Observ Paris, CNRS, IMCCE, Ave Denfert Rochereau, F-75014 Paris, France.	Alain.Albouy@obspm.fr						19	2	2	0	0	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	OCT	2015	14	2			SI		403	406		10.1007/s12346-015-0170-z				4	Mathematics, Applied; Mathematics	Mathematics	CX4SN	WOS:000365690700013					2019-08-07	
J	Llibre, J; Long, YM				Llibre, Jaume; Long, Yiming			Periodic Solutions for the Generalized Anisotropic Lennard-Jones Hamiltonian	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Lennard-Jones potential; Circular periodic solutions; Anisotropic Lennard-Jones potential	2-BODY PROBLEM	We characterize the circular periodic solutions of the generalized Lennard-Jones Hamiltonian system with two particles in R-n, and we analyze what of these periodic solutions can be continued to periodic solutions of the anisotropic generalized Lennard-Jones Hamiltonian system. We also characterize the periods of antiperiodic solutions of the generalized Lennard-Jones Hamiltonian system on R-2n, and prove the existences of 0 < tau* <= tau** such that this system possesses no tau/2-antiperiodic solution for all tau is an element of (0, tau*), at least one tau/2-antiperiodic solution when tau = tau*, precisely 2(n) families of tau/2-antiperiodic circular solutions when tau = tau**, and precisely 2(n+1) families of tau/2-antiperiodic circular solutions when tau > tau**. Each of these circular solution families is of dimension n - 1 module the S-1-action.	[Llibre, Jaume] Univ Autonoma Barcelona, Dept Matemat, E-08193 Barcelona, Catalonia, Spain; [Long, Yiming] Nankai Univ, Chern Inst Math, Tianjin 300071, Peoples R China; [Long, Yiming] Nankai Univ, LPMC, Tianjin 300071, Peoples R China	Llibre, J (reprint author), Univ Autonoma Barcelona, Dept Matemat, E-08193 Barcelona, Catalonia, Spain.	jllibre@mat.uab.cat; longym@nankai.edu.cn			MINECO [MTM2013-40998-P]; Generalitat de Catalunya [2014SGR-568]; recruitment program of high-end foreign experts of China; NSFC [11131004]; MCME; LPMC of Ministry of Education of China; Nankai University; Beijing Center for Math. and Info. Inter. Sciences at Capital Normal University;  [FP7-PEOPLE-2012-IRSES 316338];  [318999]	We thank sincerely the reviewer for his/her valuable comments and suggestions on this paper. The first author is partially supported by the MINECO MTM2013-40998-P, the Generalitat de Catalunya Grant 2014SGR-568, two grants FP7-PEOPLE-2012-IRSES 316338 and 318999 and from the recruitment program of high-end foreign experts of China. The second author is supported by NSFC Grant 11131004, MCME, LPMC of Ministry of Education of China, Nankai University, and the Beijing Center for Math. and Info. Inter. Sciences at Capital Normal University. He would like to express his sincere thanks to Centre de Recerca Matematica of the Universitat Autonoma de Barcelona for the hospitality during his visit in May 26 to June 25th of 2014. He would like to thank sincerely Professors Jaume Llibre and Ernesto Perez-Chavela for inviting him to give a lecture in HAMSYS-2014.		14	2	2	0	7	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	OCT	2015	14	2			SI		291	311		10.1007/s12346-015-0167-7				21	Mathematics, Applied; Mathematics	Mathematics	CX4SN	WOS:000365690700008					2019-08-07	
J	Martinez, R; Simo, C				Martinez, Regina; Simo, Carles			Return Maps, Dynamical Consequences and Applications	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Return maps; Separatrix-like maps; Standard-like maps; Boundaries of confined motion; The Sitnikov problem	INVARIANT CIRCLES; STANDARD MAP; SEPARATRICES; DIFFEOMORPHISMS; SYSTEMS; ISLANDS	After reviewing some general settings for return maps in problems reducible to 2D symplectic maps, details on the construction of return maps are presented. Different forms of such maps close to splitted separatrices (separatrix maps) are introduced, taking into account the size and shape of the splitting function and also the return time to the domains of interest. Then it is shown how to derive approximations by suitable standard-like maps. Dynamical consequences concerning the existence of invariant rotational curves (IRC) are derived. An application is made to theoretically estimate the location of the outermost IRC in the Sitnikov problem, which is in good agreement with numerical data. To compare with the cases which are approximated by the classical standard map, some details on the properties of the standard-like map with two harmonic terms are included. Finally a method to estimate the amount of chaos depending on the form of the separatrix map is introduced. Except otherwise stated all the systems we consider are assumed to be analytic, despite several of the properties we study are no longer analytic.	[Martinez, Regina] Univ Autonoma Barcelona, Dept Matemat, E-08193 Barcelona, Spain; [Simo, Carles] Univ Barcelona, Dept Matemat Aplicada & Anal, Barcelona, Spain	Simo, C (reprint author), Univ Barcelona, Dept Matemat Aplicada & Anal, Barcelona, Spain.	reginamb@mat.uab.cat; carles@maia.ub.es			 [MTM2010-16425];  [MTM2013-41168-P];  [2009 SGR 67];  [2014 SGR 1145]	This work has been supported by Grants MTM2010-16425 and MTM2013-41168-P (Spain), 2009 SGR 67 and 2014 SGR 1145 (Catalonia). The second author is indebted to the Centre de Recerca Matematica (CRM), where he was staying during the preparation of this paper. The authors thank the referees for pointing out several additional references and for helpful comments that improved the presentation of the contents.		41	2	2	0	3	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	OCT	2015	14	2			SI		353	379		10.1007/s12346-015-0154-z				27	Mathematics, Applied; Mathematics	Mathematics	CX4SN	WOS:000365690700011					2019-08-07	
J	Martinez-del-Rio, D; del-Castillo-Negrete, D; Olvera, A; Calleja, R				Martinez-del-Rio, D.; del-Castillo-Negrete, D.; Olvera, A.; Calleja, R.			Self-Consistent Chaotic Transport in a High-Dimensional Mean-Field Hamiltonian Map Model	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS			English	Article						Self-consistent transport; Normal forms; Sequential periodic orbits; Single-wave model	PLASMAS	Self-consistent chaotic transport is studied in a Hamiltonian mean-field model. The model provides a simplified description of transport in marginally stable systems including vorticity mixing in strong shear flows and electron dynamics in plasmas. Self-consistency is incorporated through a mean-field that couples all the degrees-of-freedom. The model is formulated as a large set of N coupled standard-like area-preserving twist maps in which the amplitude and phase of the perturbation, rather than being constant like in the standard map, are dynamical variables. Of particular interest is the study of the impact of periodic orbits on the chaotic transport and coherent structures. Numerical simulations show that self-consistency leads to the formation of a coherent macro-particle trapped around the elliptic fixed point of the system that appears together with an asymptotic periodic behavior of the mean field. To model this asymptotic state, we introduced a non-autonomous map that allows a detailed study of the onset of global transport. A turnstile-type transport mechanism that allows transport across instantaneous KAM invariant circles in non-autonomous systems is discussed. As a first step to understand transport, we study a special type of orbits referred to as sequential periodic orbits. Using symmetry properties we show that, through replication, high-dimensional sequential periodic orbits can be generated starting from low-dimensional periodic orbits. We show that sequential periodic orbits in the self-consistent map can be continued from trivial (uncoupled) periodic orbits of standard-like maps using numerical and asymptotic methods. Normal forms are used to describe these orbits and to find the values of the map parameters that guarantee their existence. Numerical simulations are used to verify the prediction from the asymptotic methods.	[Martinez-del-Rio, D.; Olvera, A.; Calleja, R.] IIMAS UNAM, Mexico City 04510, DF, Mexico; [del-Castillo-Negrete, D.] Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA	Olvera, A (reprint author), IIMAS UNAM, Mexico City 04510, DF, Mexico.	dmr@mym.iimas.unam.mx; delcastillod@ornl.gov; aoc@mym.iimas.unam.mx; calleja@mym.iimas.unam.mx	Calleja, Renato/A-5434-2017	Calleja, Renato/0000-0002-1034-9025; del-Castillo-Negrete, Diego/0000-0001-7183-801X	PAPIIT [IN104514]; FENOMEC-UNAM; Office of Fusion Energy Sciences of the US Department of Energy at Oak Ridge National Laboratory; US Department of Energy [DE-AC05-00OR22725]	This work was founded by PAPIIT IN104514, FENOMEC-UNAM and by the Office of Fusion Energy Sciences of the US Department of Energy at Oak Ridge National Laboratory, managed by UT-Battelle, LLC, for the US Department of Energy under Contract DE-AC05-00OR22725. We also express our gratitude to the graduate program in Mathematics of UNAM for making the GPU servers available to perform our computations and especially to Ana Perez for her invaluable help. Finally, we would also like to thank the anonymous referee whose valuable comments have improved the presentation of the paper.		16	2	2	1	2	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1575-5460	1662-3592		QUAL THEOR DYN SYST	Qual. Theor. Dyn. Syst.	OCT	2015	14	2			SI		313	335		10.1007/s12346-015-0168-6				23	Mathematics, Applied; Mathematics	Mathematics	CX4SN	WOS:000365690700009					2019-08-07	
