PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Servadei, R; Valdinoci, E				Servadei, Raffaella; Valdinoci, Enrico			Fractional Laplacian equations with critical Sobolev exponent	REVISTA MATEMATICA COMPLUTENSE			English	Article						Mountain Pass Theorem; Linking Theorem; Critical nonlinearities; Best fractional critical Sobolev constant; Palais-Smale condition; Variational techniques; Integrodifferential operators; Fractional Laplacian	BREZIS-NIRENBERG RESULT; OPERATORS; SPACES	In this paper we complete the study of the following elliptic equation driven by a general non-local integrodifferential operator L-K {L(K)u + lambda u + |u|(2)*(-2)u + f(x, u) = 0 in Omega u = 0 in R-n\Omega, that was started by Servadei and Valdinoci (Commun Pure Appl Anal 12( 6): 24452464, 2013). Here s is an element of(0,1), Omega is an open bounded set of R-n, n > 2s, with continuous boundary, lambda is a positive real parameter, 2* = 2n / (n - 2s) is a fractional critical Sobolev exponent and f is a lower order perturbation of the critical power |u|(2)*(-2)u, while L-K is the integrodifferential operator defined as L(K)u(x) = integral(n)(R)(u(x + y) + u(x - y) - 2u(x)) K(y) dy, x is an element of R-n. Under suitable growth condition on f, we show that this problem admits non-trivial solutions for any positive parameter lambda. This existence theorem extends some results obtained in [15,19,20]. In the model case, that is when K(x) = |x|(-(n+2s)) (this gives rise to the fractional Laplace operator -(-Delta)(S)), the existence result proved along the paper may be read as the non-local fractional counterpart of the one obtained in [12] (see also [9]) in the framework of the classical Laplace equation with critical nonlinearities.	[Servadei, Raffaella] Univ Urbino Carlo Bo, Dipartimento Sci Base & Fondamenti, I-61029 Urbino, Pesaro E Urbino, Italy; [Valdinoci, Enrico] Univ Milan, Dipartimento Matemat, I-20133 Milan, Italy; [Valdinoci, Enrico] Weierstr Inst Angew Anal & Stochast, D-10117 Berlin, Germany	Valdinoci, E (reprint author), Univ Milan, Dipartimento Matemat, Via Cesare Saldini 50, I-20133 Milan, Italy.	raffaella.servadei@uniurb.it; enrico.valdinoci@wias-berlin.de		Valdinoci, Enrico/0000-0001-6222-2272; Servadei, Raffaella/0000-0002-0636-6463	MIUR National Research Project Variational and Topological Methods in the Study of Nonlinear Phenomena; INDAM-GNAMPA Project Variational Methods for the Study of Nonlocal Elliptic Equations with Fractional Laplacian Operators; MIUR National Research Project Nonlinear Elliptic Problems in the Study of Vortices and Related Topics; FIRB project A&B (Analysis and Beyond); ERC grant	R. Servadei was supported by the MIUR National Research Project Variational and Topological Methods in the Study of Nonlinear Phenomena and by the INDAM-GNAMPA Project Variational Methods for the Study of Nonlocal Elliptic Equations with Fractional Laplacian Operators, while E. Valdinoci was supported by the MIUR National Research Project Nonlinear Elliptic Problems in the Study of Vortices and Related Topics and the FIRB project A&B (Analysis and Beyond). Both the authors were supported by the ERC grant is an element of(Elliptic Pde's and Symmetry of Interfaces and Layers for Odd Nonlinearities).		23	31	31	2	15	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	SEP	2015	28	3					655	676		10.1007/s13163-015-0170-1				22	Mathematics, Applied; Mathematics	Mathematics	CO8TA	WOS:000359443100005		Green Published			2019-08-07	
J	Rosenthal, M; Triebel, H				Rosenthal, Marcel; Triebel, Hans			Morrey spaces, their duals and preduals	REVISTA MATEMATICA COMPLUTENSE			English	Article						Morrey spaces; Dual Morrey spaces; Besov spaces; Embeddings; Calderon-Zygmund operators		This survey deals with Morrey spaces, their duals and preduals in the framework of tempered distributions on Euclidean spaces. We concentrate on basic assertions (including density and non-separability), duality, embeddings (including relations to distinguished Besov spaces) and applications to Caldern-Zygmund operators.	[Rosenthal, Marcel; Triebel, Hans] Univ Jena, Math Inst, Fak Math & Informat, D-07737 Jena, Germany	Triebel, H (reprint author), Univ Jena, Math Inst, Fak Math & Informat, D-07737 Jena, Germany.	marcel.rosenthal@uni-jena.de; hans.triebel@uni-jena.de						49	13	13	0	1	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	JAN	2015	28	1					1	30		10.1007/s13163-013-0145-z				30	Mathematics, Applied; Mathematics	Mathematics	AY6QL	WOS:000347690600001					2019-08-07	
J	Horvath, L; Rice, G				Horvath, Lajos; Rice, Gregory			An introduction to functional data analysis and a principal component approach for testing the equality of mean curvesf	REVISTA MATEMATICA COMPLUTENSE			English	Editorial Material						Functional data; m-approximability; Weak convergence; FANOVA; Projections	WEAK INVARIANCE-PRINCIPLES; VALUED RANDOM-VARIABLES; ANOVA; BOOTSTRAP; INDEPENDENCE; STABILITY; MATRIX; SUMS	We give an introduction to functional data analysis, with examples, and provide a brief review of the literature. We explain how principal component analysis (PCA) can be used to transform curves into finite dimensional data. An application of PCA is developed to test for the equality of the means of several populations (functional analysis of variance). Asymptotics are derived under the null hypothesis that the populations have the same mean curves. The selection of the basis for the projections and the power of the test is discussed for simple random samples and stationary time series samples of curves. We review the part of the literature which is needed to establish the validity of the PCA method. Two data sets, magnetogram records and stock returns, are used to illustrate the applicability of our limit results.	[Horvath, Lajos; Rice, Gregory] Univ Utah, Dept Math, Salt Lake City, UT 84112 USA	Horvath, L (reprint author), Univ Utah, Dept Math, Salt Lake City, UT 84112 USA.	lajoshorvath6775@gmail.com	Horvath, Lajos/R-7559-2019	Horvath, Lajos/0000-0001-8594-4972				91	7	7	0	19	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	SEP	2015	28	3					505	548		10.1007/s13163-015-0169-7				44	Mathematics, Applied; Mathematics	Mathematics	CO8TA	WOS:000359443100001					2019-08-07	
J	Kriegl, A; Michor, PW; Rainer, A				Kriegl, Andreas; Michor, Peter W.; Rainer, Armin			The convenient setting for Denjoy-Carleman differentiable mappings of Beurling and Roumieu type	REVISTA MATEMATICA COMPLUTENSE			English	Article						Convenient setting; Denjoy-Carleman classes of Roumieu and Beurling type; Quasianalytic and non-quasianalytic mappings of moderate growth; Whitney jets on Banach spaces	PERTURBATION; THEOREM; SPACES	We prove in a uniform way that all Denjoy-Carleman differentiable function classes of Beurling type C-(M) and of Roumieu type C-{M}, admit a convenient setting if the weight sequence M = (M-k) is log-convex and of moderate growth: For C denoting either C-(M) or C-{M}, the category of C-mappings is cartesian closed in the sense that C(E, C(F, G))congruent to C(E x F, G) for convenient vector spaces. Applications to manifolds of mappings are given: The group of C-diffeomorphisms is a regular C-Lie group if C superset of C-omega, but not better.	[Kriegl, Andreas; Michor, Peter W.; Rainer, Armin] Univ Vienna, Fak Math, A-1090 Vienna, Austria	Michor, PW (reprint author), Univ Vienna, Fak Math, Oskar Morgenstern Pl 1, A-1090 Vienna, Austria.	andreas.kriegl@univie.ac.at; peter.michor@univie.ac.at; armin.rainer@univie.ac.at		Rainer, Armin/0000-0003-3825-3313; Michor, Peter W./0000-0002-5279-248X	FWF-Project [P 23028-N13, 21030-N13, 22218-N13]	AK was supported by FWF-Project P 23028-N13; PM by FWF-Project P 21030-N13; AR by FWF-Project P 22218-N13.		40	6	6	0	1	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	SEP	2015	28	3					549	597		10.1007/s13163-014-0167-1				49	Mathematics, Applied; Mathematics	Mathematics	CO8TA	WOS:000359443100002					2019-08-07	
J	Dilworth, SJ; Kutzarova, D; Oikhberg, T				Dilworth, S. J.; Kutzarova, D.; Oikhberg, T.			Lebesgue constants for the weak greedy algorithm	REVISTA MATEMATICA COMPLUTENSE			English	Article						Weak greedy algorithm; Biorthogonal system; Markushevitch basis; Lebesgue constant	BIORTHOGONAL SYSTEMS; BANACH-SPACES; BASES; APPROXIMATION; INEQUALITIES	We estimate the Lebesgue constants for the weak thresholding greedy algorithm in a Banach space relative to a biorthogonal system. The estimates involve the weakness (relaxation) parameter of the algorithm, as well as properties of the basis, such as its quasi-greedy constant and democracy function.	[Dilworth, S. J.] Univ S Carolina, Dept Math, Columbia, SC 29208 USA; [Kutzarova, D.] Bulgarian Acad Sci, Inst Math, BU-1113 Sofia, Bulgaria; [Kutzarova, D.; Oikhberg, T.] Univ Illinois, Dept Math, Urbana, IL 61801 USA	Oikhberg, T (reprint author), Univ Illinois, Dept Math, 1409 W Green St, Urbana, IL 61801 USA.	dilworth@math.sc.edu; denka@math.uiuc.edu; oikhberg@illinois.edu			NSF [DMS1101490, DMS 1361461]; Simons Foundation [210060]	The first author was partially supported by NSF Grants DMS1101490 and DMS 1361461. The third author was partially supported by the Simons Foundation travel award 210060.		18	6	6	0	2	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	MAY	2015	28	2					393	409		10.1007/s13163-014-0163-5				17	Mathematics, Applied; Mathematics	Mathematics	CH7NH	WOS:000354223100005					2019-08-07	
J	Izumi, T; Sawano, Y; Tanaka, H				Izumi, Takashi; Sawano, Yoshihiro; Tanaka, Hitoshi			Littlewood-Paley theory for Morrey spaces and their preduals	REVISTA MATEMATICA COMPLUTENSE			English	Article						Block spaces; Morrey spaces; Littlewood-Paley spaces; Fatou property	FOURIER-SERIES	Zorko proved that Morrey spaces are known to have preduals. In the present paper such predual spaces are shown to be characterized by means of the Littlewood-Paley operators. Recently, many function spaces are shown to admit the Littlewood-Paley characterization. As for the predual spaces of Morrey spaces, it had not been clear that a pointwise increasing norm-bounded sequence has a least bound. However, the author proved in the earlier paper that it actually has a least bound. In the present paper, by taking advantage of this property, a characterization by means of Littlewood-Paley operators is proposed.	[Izumi, Takashi] Yamagata Univ, Dept Math Sci, Yamagata 9908560, Japan; [Sawano, Yoshihiro] Tokyo Metropolitan Univ, Dept Math & Informat Sci, Hachioji, Tokyo 1920397, Japan; [Tanaka, Hitoshi] Univ Tokyo, Grad Sch Math Sci, Tokyo 1538914, Japan	Sawano, Y (reprint author), Tokyo Metropolitan Univ, Dept Math & Informat Sci, 1-1 Minami Ohsawa, Hachioji, Tokyo 1920397, Japan.	Takashi.Izumi2@mc4.seikyou.ne.jp; yoshihiro-sawano@celery.ocn.ne.jp; htanaka@ms.u-tokyo.ac.jp			Japan Society for the Promotion of Science [24740085, 23540187]; FMSP program at Graduate School of Mathematical Sciences, the University of Tokyo	The second author was supported financially by Grant-in-Aid for Young Scientists (B) No. 24740085, Japan Society for the Promotion of Science. Tanaka was supported by the FMSP program at Graduate School of Mathematical Sciences, the University of Tokyo, and Grant-in-Aid for Scientific Research (C) (No. 23540187), the Japan Society for the Promotion of Science. The authors are grateful to the anonymous referee for his kind suggestion, which made us aware of the difference between two different Littlewood-Paley characterizations.		26	6	6	0	3	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	MAY	2015	28	2					411	447		10.1007/s13163-014-0158-2				37	Mathematics, Applied; Mathematics	Mathematics	CH7NH	WOS:000354223100006					2019-08-07	
J	Charpentier, S; Mouze, A				Charpentier, S.; Mouze, A.			Universal Taylor series and summability	REVISTA MATEMATICA COMPLUTENSE			English	Article						Universal Taylor series; Ostrowski-gaps; Matrix summability method	HOLOMORPHIC-FUNCTIONS; CLOSED SUBSPACES; SPACES; SETS	We introduce classes of universal Taylor series, both topologically and algebraically generic, whose image under some regular matrix summability methods are automatically universal.	[Charpentier, S.] Aix Marseille Univ, UMR 7353, Lab Anal Topol & Probabil, F-13453 Marseille 13, France; [Mouze, A.] Lab Paul Painleve, UMR 8524, F-59650 Villeneuve Dascq, France	Mouze, A (reprint author), Ecole Cent Lille, CS20048, F-59651 Villeneuve Dascq, France.	stephane.charpentier@latp.univ-mrs.fr; Augustin.Mouze@math.univ-lille1.fr						23	6	6	0	3	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	JAN	2015	28	1					153	167		10.1007/s13163-014-0156-4				15	Mathematics, Applied; Mathematics	Mathematics	AY6QL	WOS:000347690600006					2019-08-07	
J	Castro, A; Pardo, R				Castro, Alfonso; Pardo, Rosa			A priori bounds for positive solutions of subcritical elliptic equations	REVISTA MATEMATICA COMPLUTENSE			English	Article						A priori estimates; Positive solutions; Subcritical nonlinearity; Moving planes method; Kelvin transform		We provide a-priori bounds for positive solutions to a class of subcritical elliptic problems in bounded domains. Our analysis widens the known ranges of subcritical nonlinearities for which positive solutions are a-priori bounded.	[Castro, Alfonso] Harvey Mudd Coll, Dept Math, Claremont, CA 91711 USA; [Pardo, Rosa] Univ Complutense Madrid, Dept Matemat Aplicada, E-28040 Madrid, Spain	Pardo, R (reprint author), Univ Complutense Madrid, Dept Matemat Aplicada, E-28040 Madrid, Spain.	castro@math.hmc.edu; rpardo@ucm.es	Pardo, Rosa/N-4395-2019; Pardo, Rosa/H-1101-2017	Pardo, Rosa/0000-0003-1914-9203; Pardo, Rosa/0000-0003-1914-9203	Simons Foundations [245966]; Spanish Ministerio de Ciencia e Innovacion (MICINN) [MTM2012-31298]	This work was partially supported by a grant from the Simons Foundations (# 245966 to Alfonso Castro). R. Pardo is supported by Spanish Ministerio de Ciencia e Innovacion (MICINN) under Project MTM2012-31298. This work was started during a sabbatical visit of R. Pardo to the Department of Mathematics, Harvey Mudd College, Claremont, USA, whose hospitality she thanks.		19	5	7	0	2	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	SEP	2015	28	3					715	731		10.1007/s13163-015-0180-z				17	Mathematics, Applied; Mathematics	Mathematics	CO8TA	WOS:000359443100007					2019-08-07	
J	Gomez, TL; Sols, I; Zamora, A				Gomez, Tomas L.; Sols, Ignacio; Zamora, Alfonso			A GIT interpretation of the Harder-Narasimhan filtration	REVISTA MATEMATICA COMPLUTENSE			English	Article						Vector bundles; Moduli space; Stability; Geometric invariant theory	OPTIMAL DESTABILIZING VECTORS; MODULI; INSTABILITY	An unstable torsion free sheaf on a smooth projective variety gives a GIT unstable point in certain Quot scheme. To a GIT unstable point, Kempf associates a "maximally destabilizing" 1-parameter subgroup, and this induces a filtration of the torsion free sheaf. We show that this filtration coincides with the Harder-Narasimhan filtration.	[Gomez, Tomas L.; Zamora, Alfonso] Inst Ciencias Matemat CSIC UAM UC3M UCM, Madrid 28049, Spain; [Sols, Ignacio; Zamora, Alfonso] Univ Complutense Madrid, Dept Algebra, Fac Matemat, E-28040 Madrid, Spain	Gomez, TL (reprint author), Inst Ciencias Matemat CSIC UAM UC3M UCM, Nicolas Cabrera 13-15,Campus Cantoblanco UAM, Madrid 28049, Spain.	tomas.gomez@icmat.es; isols@mat.ucm.es; alfonsozamora@icmat.es			ICMAT Severo Ochoa project of the Spanish Ministerio de Economia y Competitividad [SEV-2011-0087]; FPU Grant from the Spanish Ministerio de Educacion;  [MTM2010-17389]	We thank Francisco Presas for discussions. This work was funded by the Grant MTM2010-17389 and ICMAT Severo Ochoa project SEV-2011-0087 of the Spanish Ministerio de Economia y Competitividad. A. Zamora was supported by a FPU Grant from the Spanish Ministerio de Educacion. Finally A. Zamora would like to thank the Department of Mathematics at Columbia University, where part of this work was done, for hospitality. This work is part of A. Zamora's Ph.D. thesis (c.f. [16]).		16	5	5	0	4	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	JAN	2015	28	1					169	190		10.1007/s13163-014-0149-3				22	Mathematics, Applied; Mathematics	Mathematics	AY6QL	WOS:000347690600007		Green Accepted			2019-08-07	
J	Jylha, H				Jylha, Heikki			An optimal transportation problem related to the limits of solutions of local and nonlocal -Laplace-type problems	REVISTA MATEMATICA COMPLUTENSE			English	Article						Optimal transportation; Nonlocal equation; p-Laplace equation	SPACES	We investigate the asymptotic behavior of minimizers of problems related to the -Laplace equation . As , the minimizers converge (up to a subsequence) to a function, which maximizes the functional with appropriate constraints. The main result of this paper is that the problem of maximizing with Dirichlet boundary condition can be identified as a dual problem of a certain mass transportation problem. Our approach applies to the limits of both -Laplace type problems in classical Sobolev spaces and analogous nonlocal problems in fractional Sobolev spaces.	Univ Jyvaskyla, Dept Math & Stat, FI-40014 Jyvaskyla, Finland	Jylha, H (reprint author), Univ Jyvaskyla, Dept Math & Stat, POB 35 MaD, FI-40014 Jyvaskyla, Finland.	heikki.j.jylha@student.jyu.fi			University of Jyvaskyla; Vaisala Foundation	The author would like to thank Petri Juutinen for introducing the author to the problems discussed in this paper and Julio Rossi for sharing his ideas about how to generalize the results. The author would also like to thank the reviewers for their helpful comments. The author has been supported by University of Jyvaskyla and Vaisala Foundation.		11	5	5	0	0	SPRINGER-VERLAG ITALIA SRL	MILAN	VIA DECEMBRIO, 28, MILAN, 20137, ITALY	1139-1138	1988-2807		REV MAT COMPLUT	Rev. Mat. Complut.	JAN	2015	28	1					85	121		10.1007/s13163-014-0147-5				37	Mathematics, Applied; Mathematics	Mathematics	AY6QL	WOS:000347690600004					2019-08-07	
