PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Debnath, L; Mortici, C; Zhu, L				Debnath, Lokenath; Mortici, Cristinel; Zhu, Ling			Refinements of Jordan-Steckin and Becker-Stark Inequalities	RESULTS IN MATHEMATICS			English	Article						Jordan-Steckin inequalities; Becker-Stark inequalities	SHARP VERSION; IMPROVEMENT; CUSA	The aim of this paper is to refine Jordan-Steckin and Becker-Stark inequalities.	[Debnath, Lokenath] Univ Texas Pan Amer, Dept Math, Edinburg, TX 78541 USA; [Mortici, Cristinel] Valahia Univ Targoviste, Targoviste 130082, Romania; [Mortici, Cristinel] Acad Romanian Scientists, Bucharest 050094, Romania; [Zhu, Ling] Zhejiang Gongshang Univ, Dept Math, Hangzhou 310018, Zhejiang, Peoples R China	Debnath, L (reprint author), Univ Texas Pan Amer, Dept Math, Edinburg, TX 78541 USA.	debnathl@utpa.edu; cristinel.mortici@hotmail.com; zhuling0571@163.com	Mortici, Cristinel/B-2597-2015	Mortici, Cristinel/0000-0001-5576-1921	Romanian National Authority for Scientific Research, CNCS-UEFISCDI [PN-II-ID-PCE-2011-3-0087]	The work of Cristinel Mortici was supported by a grant of the Romanian National Authority for Scientific Research, CNCS-UEFISCDI, Project Number PN-II-ID-PCE-2011-3-0087. Final contribution of Cristinel Mortici was made during its visit at Jaen University, Spain. Some computations in this paper were performed using Maple software.		20	24	24	3	10	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	FEB	2015	67	1-2					207	215		10.1007/s00025-014-0405-3				9	Mathematics, Applied; Mathematics	Mathematics	CA5XZ	WOS:000348983000012					2019-08-07	
J	Mikhailets, VA; Murach, AA				Mikhailets, Vladimir A.; Murach, Aleksandr A.			Interpolation Hilbert Spaces Between Sobolev Spaces	RESULTS IN MATHEMATICS			English	Article						Sobolev space; interpolation space; Hormander space; OR-varying function; interpolation with a function parameter	FUNCTION PARAMETER; BESOV-SPACES	We explicitly describe all Hilbert function spaces that are interpolation spaces with respect to a given couple of Sobolev inner product spaces considered over R-n or a half-space in R-n or a bounded Euclidean domain with Lipschitz boundary. We prove that these interpolation spaces form a subclass of isotropic Hormander spaces. They are parametrized with a radial function parameter which is OR-varying at +infinity and satisfies some additional conditions. We give explicit examples of intermediate but not interpolation spaces.	[Mikhailets, Vladimir A.; Murach, Aleksandr A.] Natl Acad Sci Ukraine, Inst Math, UA-01601 Kiev, Ukraine; [Mikhailets, Vladimir A.] Natl Tech Univ Ukraine, Kyiv Polytech Inst, Kiev, Ukraine; [Murach, Aleksandr A.] Chernihiv Natl Pedag Univ, Chernihiv, Ukraine	Mikhailets, VA (reprint author), Natl Acad Sci Ukraine, Inst Math, Tereshchenkivska Str 3, UA-01601 Kiev, Ukraine.	mikhailets@imath.kiev.ua; murach@imath.kiev.ua						25	12	12	1	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	FEB	2015	67	1-2					135	152		10.1007/s00025-014-0399-x				18	Mathematics, Applied; Mathematics	Mathematics	CA5XZ	WOS:000348983000008					2019-08-07	
J	Lin, HZ				Lin, Hezi			On the Structure of Submanifolds in Euclidean Space with Flat Normal Bundle	RESULTS IN MATHEMATICS			English	Article						Submanifolds; Betti number; total curvature; L-2-harmonic p-forms	MINIMAL HYPERSURFACES; RICCI CURVATURE; INEQUALITIES; MANIFOLDS; 1-FORMS; SOBOLEV	In this paper we study the structure of an immersed submanifold M (n) in a Riemannian manifold with flat normal bundle in two ways. Firstly, we prove that if M (n) is compact and satisfies some pointwise pinching condition, and assume further that the ambient space has pure curvature tensor and non-negative isotropic curvature, then the Betti numbers beta (p) (M) = 0 for 2 a parts per thousand currency sign p a parts per thousand currency sign n-2. Secondly, suppose that M (n) is a complete non-compact submanifold in the Euclidean space with finite total curvature in the sense that its traceless second fundament form has finite L (n) -norm, then we show that the spaces of L (2) harmonic p-forms on M (n) have finite dimensions for all 2 a parts per thousand currency sign p a parts per thousand currency sign n-2.	Fujian Normal Univ, Sch Math & Comp Sci, Fuzhou 350117, Peoples R China	Lin, HZ (reprint author), Fujian Normal Univ, Sch Math & Comp Sci, Fuzhou 350117, Peoples R China.	linhezi_1@163.com			NSFC [11326045, 11401099]	Supported by NSFC grant Nos 11326045,11401099.		13	9	9	0	3	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	NOV	2015	68	3-4					313	329		10.1007/s00025-015-0435-5				17	Mathematics, Applied; Mathematics	Mathematics	CT6BW	WOS:000362896800003					2019-08-07	
J	Zhao, CJ				Zhao, Chang-Jian			Orlicz Dual Mixed Volumes	RESULTS IN MATHEMATICS			English	Article						Orlicz spaces; Orlicz addition; Orlicz harmonic sum; Orlicz-Brunn-Minkowski theory; L-p-dual Minkowski inequality; Lp-dual Brunn-Minkowski inequality	MINKOWSKI-FIREY THEORY; BODIES	In the paper, we introduce Orlicz dual mixed volumes, and inequalities of Brunn-Minkowski type are obtained for Orlicz dual mixed volumes. The new Orlicz dual Brunn-Minkowski inequality implies the L-p-dual Brunn-Minkowski inequality. A new Orlicz dual Minkowski inequality is obtained that generalizes the L-p-dual Minkowski inequality.	China Jiliang Univ, Dept Math, Hangzhou 310018, Zhejiang, Peoples R China	Zhao, CJ (reprint author), China Jiliang Univ, Dept Math, Hangzhou 310018, Zhejiang, Peoples R China.	chjzhao@aliyun.com			National Natural Science Foundation of China [11371334]	Research is supported by National Natural Science Foundation of China (11371334).		15	9	10	0	0	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	SEP	2015	68	1-2					93	104		10.1007/s00025-014-0424-0				12	Mathematics, Applied; Mathematics	Mathematics	CQ3NH	WOS:000360508500006					2019-08-07	
J	Acu, AM; Muraru, CV				Acu, Ana Maria; Muraru, Carmen Violeta			Approximation Properties of Bivariate Extension of q-Bernstein-Schurer-Kantorovich operators	RESULTS IN MATHEMATICS			English	Article						q-Bernstein-Schurer-Kantorovich operators; modulus of continuity; rate of convergence; Bohmann-Korovkin theorem	LINEAR POSITIVE OPERATORS; CONVERGENCE; SEQUENCES; THEOREMS	In this paper, we introduce a bivariate generalization of the Bernstein-Schurer-Kantorovich operators based on q-integers and get a Bohmann-Korovkin type approximation theorem of these operators. We also estimate the rate of convergence of the proposed operators, in terms of the first modulus of smoothness.	[Acu, Ana Maria] Lucian Blaga Univ Sibiu, Dept Math & Informat, Sibiu 550012, Romania; [Muraru, Carmen Violeta] Vasile Alecsandri Univ Bacau, Dept Math Informat & Educ Sci, Bacau, Romania	Acu, AM (reprint author), Lucian Blaga Univ Sibiu, Dept Math & Informat, Str Dr I Ratiu 5-7, Sibiu 550012, Romania.	acuana77@yahoo.com; carmen_7419@yahoo.com		Carmen Vioeta, Muraru/0000-0002-4897-6235				20	9	9	0	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	JUN	2015	67	3-4					265	279		10.1007/s00025-015-0441-7				15	Mathematics, Applied; Mathematics	Mathematics	CH7WE	WOS:000354246500001					2019-08-07	
J	Wang, HH				Wang, Haihua			Existence of Solutions for Fractional Anti-Periodic BVP	RESULTS IN MATHEMATICS			English	Article						Fractional differential equation; anti-periodic BVP; existence; Mittag-Leffler functions		In this paper, we study the solutions of anti-periodic BVP for fractional differential equations with constant coefficients. The existence and uniqueness of solutions are obtained by using some fixed point theorems.	Hunan Univ Sci & Technol, Dept Math, Xiangtan 411201, Peoples R China	Wang, HH (reprint author), Hunan Univ Sci & Technol, Dept Math, Xiangtan 411201, Peoples R China.	wanghoiwan@163.com						17	8	8	1	5	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	SEP	2015	68	1-2					227	245		10.1007/s00025-014-0431-1				19	Mathematics, Applied; Mathematics	Mathematics	CQ3NH	WOS:000360508500013					2019-08-07	
J	Farashahi, AG				Farashahi, Arash Ghaani			A Unified Group Theoretical Method for the Partial Fourier Analysis on Semi-Direct Product of Locally Compact Groups	RESULTS IN MATHEMATICS			English	Article						Semi-direct products of locally compact groups; partial Fourier transform; character group; tau-dual group; Pontrjagin duality; tau-Fourier transform; Parseval formula; Plancherel Theorem; inversion formula	WAVELET TRANSFORMS	Let H and K be locally compact groups and tau : H -> Aut(K) be a continuous homomorphism. Further let G(tau) = H proportional to(tau) K be the semi-direct product of H and K with respect to the continuous homomorphism . This paper presents a unified approach for the partial Fourier analysis on G(tau) - H proportional to(tau) K, when K is Abelian. The tau-dual group (partial dual group) G((tau) over cap) of G(tau) is defined as the semi-direct product group H ((tau) over cap)w (K) over cap where (tau) over cap : H -> Aut((K) over cap) is given via (tau) over caph(omega) : = omega omicron tau(h)-1 for all h is an element of H and omega is an element of(K) over cap We will prove a Pontrjagin duality theorem and we introduce a unitary partial Fourier transform on G(tau). As examples, we shall study these techniques for some well-known semi-direct product groups.	Univ Vienna, Fac Math, Numer Harmon Anal Grp NuHAG, Vienna, Austria	Farashahi, AG (reprint author), Univ Vienna, Fac Math, Numer Harmon Anal Grp NuHAG, Vienna, Austria.	arash.ghaani.farashahi@univie.ac.at	Ghaani Farashahi, Arash/M-8697-2015; Farashahi, Arash Ghaani/M-9993-2017	Ghaani Farashahi, Arash/0000-0003-1580-512X				34	8	8	0	2	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	FEB	2015	67	1-2					235	251		10.1007/s00025-014-0407-1				17	Mathematics, Applied; Mathematics	Mathematics	CA5XZ	WOS:000348983000014					2019-08-07	
J	Gal, S; Gupta, V				Gal, Sorin G.; Gupta, Vijay			Approximation by the Complex form of a Link Operator Between the Phillips and the Szasz-Mirakjan Operators	RESULTS IN MATHEMATICS			English	Article						Complex generalized Szasz-Mirakjan operators; Voronovskaya type result; exact order; exponential growth; entire function	Q-BERNSTEIN POLYNOMIALS; DURRMEYER	The link operator P-alpha(rho)(f, x) = Sigma(infinity)(k=1) s(alpha,k) (x) integral(infinity)(0) theta (alpha,k) (rho) (t) f(t) dt + e(-alpha x) f(0), alpha, rho > 0, x is an element of[0, +infinity), s(alpha,k) (x) = e(-alpha x) (alpha x)(k/)k !, theta(rho)(alpha,k)(t) = alpha rho/Gamma(k rho) e(-alpha rho t)(alpha rho t)(k rho-1), between the Phillips operator (obtained for rho=1), and the Szasz-Mirakjan operator (obtained for rho -> +infinity ), was introduced by Paltanea in (Carpathian J Math 24:378-385, 2008), for which he proved uniform convergence to f (as alpha -> +infinity ) in any compact subinterval [0,b] subset of [0, +infinity). In this paper, for entire functions f of some exponential growth in , quantitative estimates in approximation and in Voronovskaya-type result in any closed disk (D-r) over bar subset of C are obtained for P-alpha(rho)(f,z).	[Gal, Sorin G.] Univ Oradea, Dept Math & Comp Sci, Oradea 410087, Romania; [Gupta, Vijay] Netaji Subhas Inst Technol, Dept Math, Sect Dwarka 3, New Delhi 110078, India	Gal, S (reprint author), Univ Oradea, Dept Math & Comp Sci, Str Univ 1, Oradea 410087, Romania.	galso@uoradea.ro; vijaygupta2001@hotmail.com						22	7	7	0	0	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	JUN	2015	67	3-4					381	393		10.1007/s00025-015-0443-5				13	Mathematics, Applied; Mathematics	Mathematics	CH7WE	WOS:000354246500007					2019-08-07	
J	Mortici, C; Qi, F				Mortici, Cristinel; Qi, Feng			Asymptotic Formulas and Inequalities for the Gamma Function in Terms of the Tri-Gamma Function	RESULTS IN MATHEMATICS			English	Article						Asymptotic formulas; inequalities; factorial; gamma function; tri-gamma function	COMPLETE MONOTONICITY	In the paper, the authors establish some asymptotic formulas and double inequalities for the factorial n ! and the gamma function Gamma in terms of the tri-gamma function psi'.	[Mortici, Cristinel] Valahia Univ Targoviste, Dept Math, Targoviste 130082, Romania; [Mortici, Cristinel] Acad Romanian Scientists, Bucharest 050094, Romania; [Qi, Feng] Inner Mongolia Univ Nationalities, Coll Math, Tongliao City 028043, Peoples R China; [Qi, Feng] Tianjin Polytech Univ, Coll Sci, Dept Math, Tianjin City 300387, Peoples R China	Mortici, C (reprint author), Valahia Univ Targoviste, Dept Math, Bd Unirii 18, Targoviste 130082, Romania.	cristinel.mortici@hotmail.com; qifeng618@gmail.com	Qi, Feng/G-2455-2012	Qi, Feng/0000-0001-6239-2968	Romanian National Authority for Scientific Research, CNCS-UEFISCDI [PN-II-ID-PCE-2011-3-0087]; National Natural Science Foundation of China [11361038]	The work of the first author was supported by the Romanian National Authority for Scientific Research, CNCS-UEFISCDI, Grant No. PN-II-ID-PCE-2011-3-0087. The second author was partially supported by the National Natural Science Foundation of China under the Grant No. 11361038.		17	7	7	0	8	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	JUN	2015	67	3-4					395	402		10.1007/s00025-015-0439-1				8	Mathematics, Applied; Mathematics	Mathematics	CH7WE	WOS:000354246500008					2019-08-07	
J	Jleli, M; Munteanu, MI; Nistor, AI				Jleli, Mohamed; Munteanu, Marian Ioan; Nistor, Ana Irina			Magnetic Trajectories in an Almost Contact Metric Manifold R2N+1	RESULTS IN MATHEMATICS			English	Article						Magnetic curve; helix; quasi-Sasakian manifold; codimension reduction		In this paper we classify magnetic trajectories gamma in R2N+1 endowed with a canonical quasi-Sasakian structure, corresponding to a magnetic field proportional to the fundamental 2-form. We prove that they are helices of order 5 and we show that there exists a totally geodesic R-5 in R2N+1 such that gamma lies in R-5. Moreover, the quasi-Sasakian structure of R-5 is that induced from the ambient manifold.	[Jleli, Mohamed] King Saud Univ, Dept Math, Riyadh 11451, Saudi Arabia; [Munteanu, Marian Ioan] Alexandru Ioan Cuza Univ, Fac Math, Iasi 700506, Romania; [Nistor, Ana Irina] Gheorghe Asachi Tech Univ Iasi, Dept Math & Informat, Iasi 700506, Romania	Jleli, M (reprint author), King Saud Univ, Dept Math, Riyadh 11451, Saudi Arabia.	jleli@ksu.edu.sa; marian.ioan.munteanu@gmail.com; ana.irina.nistor@gmail.com	Munteanu, Marian/C-5934-2011; Nistor, Ana Irina/N-4068-2019; Jleli, Mohamed/D-5799-2015; NISTOR, Ana Irina/A-8335-2017	Munteanu, Marian/0000-0002-3509-8330; Jleli, Mohamed/0000-0002-6095-5875; Nistor, Ana Irina/0000-0001-9353-0753	Visiting Professor Program (VPP) at King Saud University, Saudi Arabia; CNCS-UEFISCDI (Romania) [PN-II-RU-PD-2012-3-0387]	The first two authors were supported by the Visiting Professor Program (VPP) at King Saud University, Saudi Arabia. The third author was supported by CNCS-UEFISCDI (Romania) Grant PN-II-RU-PD-2012-3-0387.		12	7	7	0	17	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1422-6383	1420-9012		RESULTS MATH	Results Math.	FEB	2015	67	1-2					125	134		10.1007/s00025-014-0398-y				10	Mathematics, Applied; Mathematics	Mathematics	CA5XZ	WOS:000348983000007					2019-08-07	
