PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Felsinger, M; Kassmann, M; Voigt, P				Felsinger, Matthieu; Kassmann, Moritz; Voigt, Paul			The Dirichlet problem for nonlocal operators	MATHEMATISCHE ZEITSCHRIFT			English	Article						Integro-differential operator; Nonlocal operator; Fractional Laplacian; Dirichlet problem	BOUNDARY	In this note we set up the elliptic and the parabolic Dirichlet problem for linear nonlocal operators. As opposed to the classical case of second order differential operators, here the "boundary data" are prescribed on the complement of a given bounded set. We formulate the problem in the classical framework of Hilbert spaces and prove unique solvability using standard techniques like the Fredholm alternative.	[Felsinger, Matthieu; Kassmann, Moritz; Voigt, Paul] Univ Bielefeld, Fak Math, D-33501 Bielefeld, Germany	Kassmann, M (reprint author), Univ Bielefeld, Fak Math, Postfach 100131, D-33501 Bielefeld, Germany.	m.felsinger@math.uni-bielefeld.de; moritz.kassmann@uni-bielefeld.de; pvoigt@math.uni-bielefeld.de						24	34	34	0	2	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	APR	2015	279	3-4					779	809		10.1007/s00209-014-1394-3				31	Mathematics	Mathematics	CD2AI	WOS:000350875500010					2019-08-07	
J	Kollar, J; Nowak, K				Kollar, Janos; Nowak, Krzysztof			Continuous rational functions on real and -adic varieties	MATHEMATISCHE ZEITSCHRIFT			English	Article									[Kollar, Janos] Princeton Univ, Princeton, NJ 08544 USA; [Nowak, Krzysztof] Jagiellonian Univ, Inst Math, PL-30348 Krakow, Poland	Kollar, J (reprint author), Princeton Univ, Princeton, NJ 08544 USA.	kollar@math.princeton.edu; nowak@im.uj.edu.pl						21	26	26	0	1	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	FEB	2015	279	1-2					85	97		10.1007/s00209-014-1358-7				13	Mathematics	Mathematics	AY8WJ	WOS:000347831200004					2019-08-07	
J	Ferrari, F; Franchi, B				Ferrari, Fausto; Franchi, Bruno			Harnack inequality for fractional sub-Laplacians in Carnot groups	MATHEMATISCHE ZEITSCHRIFT			English	Article						Carnot groups; Heat kernel; Fractional powers of sub-Laplacian; Harnack inequality	EXTENSION PROBLEM; REGULARITY; BOUNDARY; FORMULA; SPACES	In this paper we prove an invariant Harnack inequality on Carnot-Carath,odory balls for fractional powers of sub-Laplacians in Carnot groups. The proof relies on an "abstract" formulation of a technique recently introduced by Caffarelli and Silvestre. In addition, we write explicitly the Poisson kernel for a class of degenerate subelliptic equations in product-type Carnot groups.	[Ferrari, Fausto; Franchi, Bruno] Dipartimento Matemat, Piazza Porta S Donato 5, I-40126 Bologna, Italy	Ferrari, F (reprint author), Dipartimento Matemat, Piazza Porta S Donato 5, I-40126 Bologna, Italy.	fausto.ferrari@unibo.it; bruno.franchi@unibo.it	Ferrari, Fausto/K-9104-2015	Ferrari, Fausto/0000-0002-2419-7018	MURST, Italy; University of Bologna, Italy; EC Project CG-DICE	The authors are supported by MURST, Italy, and by University of Bologna, Italy, funds for selected research topics and by EC Project CG-DICE.		38	18	19	0	3	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	FEB	2015	279	1-2					435	458		10.1007/s00209-014-1376-5				24	Mathematics	Mathematics	AY8WJ	WOS:000347831200022					2019-08-07	
J	Ruzhansky, M; Wirth, J				Ruzhansky, Michael; Wirth, Jens			L-p Fourier multipliers on compact Lie groups	MATHEMATISCHE ZEITSCHRIFT			English	Article						Multipliers; Compact Lie groups; Pseudo-differential operators	INVARIANT OPERATORS; SPACES	In this paper we prove Fourier multiplier theorems for invariant and also non-invariant operators on compact Lie groups in the spirit of the well-known Hormander-Mikhlin theorem on and its variants on tori T-n . We also give applications to a-priori estimates for non-hypoelliptic operators. Already in the case of tori we get an interesting refinement of the classical multiplier theorem.	[Ruzhansky, Michael] Univ London Imperial Coll Sci Technol & Med, Dept Math, London SW7 2AZ, England; [Wirth, Jens] Univ Stuttgart, Inst Anal Dynam & Modellierung, D-70569 Stuttgart, Germany	Ruzhansky, M (reprint author), Univ London Imperial Coll Sci Technol & Med, Dept Math, 180 Queens Gate, London SW7 2AZ, England.	m.ruzhansky@imperial.ac.uk; jens.wirth@iadm.uni-stuttgart.de		Wirth, Jens/0000-0002-3950-4236	EPSRC Leadership Fellowship [EP/G007233/1]; EPSRC [EP/E062873/1]; Engineering and Physical Sciences Research Council [EP/E062873/1, EP/G007233/1]	The first author was supported by the EPSRC Leadership Fellowship EP/G007233/1. The second author was supported by the EPSRC Grant EP/E062873/1 and by DAAD for visits to Imperial College London in December 2010 and February 2011.		23	14	15	1	1	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	AUG	2015	280	3-4					621	642		10.1007/s00209-015-1440-9				22	Mathematics	Mathematics	CN1VL	WOS:000358208300002		Other Gold, Green Published			2019-08-07	
J	Crainic, M; Salazar, MA; Struchiner, I				Crainic, Marius; Salazar, Maria Amelia; Struchiner, Ivan			Multiplicative forms and Spencer operators	MATHEMATISCHE ZEITSCHRIFT			English	Article						Lie groupoids; Symplectic groupoids; Multiplicative forms; Poisson geometry	SYMPLECTIC GROUPOIDS; LIE ALGEBROIDS; COHOMOLOGY; INTEGRABILITY; QUANTIZATION; EQUATIONS; BRACKETS	Motivated by our attempt to recast Cartan's work on Lie pseudogroups in a more global and modern language, we are brought back to the question of understanding the linearization of multiplicative forms on groupoids and the corresponding integrability problem. From this point of view, the novelty of this paper is that we study forms with coefficients. However, the main contribution of this paper is conceptual: the discovery of the relationship between multiplicative forms and Cartan's work is explored here to provide a completely new approach to integrability theorems for multiplicative forms. The multiplicative point of view shows that, modulo Lie's functor, the Cartan Pfaffian system (itself a multiplicative form with coefficients!) is the same thing as the classical Spencer operator.			mariasalazarp@gmail.com						36	14	14	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	APR	2015	279	3-4					939	979		10.1007/s00209-014-1398-z				41	Mathematics	Mathematics	CD2AI	WOS:000350875500014					2019-08-07	
J	Chen, SL; Ponnusamy, S; Rasila, A				Chen, Shaolin; Ponnusamy, Saminathan; Rasila, Antti			On characterizations of Bloch-type, Hardy-type and Lipschitz-type spaces	MATHEMATISCHE ZEITSCHRIFT			English	Article						Majorant; Bloch space; Hardy space; Lipschitz space	EQUIVALENT NORMS; INTEGRAL MEANS; THEOREM	In this paper, we establish a Bloch-type growth theorem for generalized Bloch-type spaces and discuss relationships between Dirichlet-type spaces and Hardy-type spaces on certain classes of complex-valued functions. Then we present some applications to non-homogeneous Yukawa PDEs. We also consider some properties of the Lipschitz-type spaces on certain classes of complex-valued functions. Finally, we will study a class of composition operators on these spaces.	[Chen, Shaolin] Hengyang Normal Univ, Dept Math & Computat Sci, Hengyang 421008, Hunan, Peoples R China; [Ponnusamy, Saminathan] Chennai Ctr SETS, Indian Stat Inst, MGR Knowledge City, Madras 600113, Tamil Nadu, India; [Rasila, Antti] Aalto Univ, Dept Math & Syst Anal, Aalto 00076, Finland	Rasila, A (reprint author), Aalto Univ, Dept Math & Syst Anal, Aalto 00076, Finland.	mathechen@126.com; samy@isichennai.res.in; antti.rasila@iki.fi	Rasila, Antti/H-5621-2013; Ponnusamy, S./H-7695-2017	Rasila, Antti/0000-0003-3797-942X; Ponnusamy, S./0000-0002-3699-2713	National Natural Science Foundation of China [11326081, 11401184]; Construct Program of the Key Discipline in Hunan Province; Hunan Provincial Natural Science Foundation of China [14jj1012]; Academy of Finland [269260]	The authors would like to thank the referee for the careful reading of this paper. This research was partly supported by National Natural Science Foundation of China (Nos. 11326081 and 11401184), the Construct Program of the Key Discipline in Hunan Province, Hunan Provincial Natural Science Foundation of China (No. 14jj1012) and Academy of Finland (No. 269260). S. Ponnusamy is on leave from the Department of Mathematics, Indian Institute of Technology Madras, Chennai-600 036, India.		37	13	14	0	4	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	FEB	2015	279	1-2					163	183		10.1007/s00209-014-1361-z				21	Mathematics	Mathematics	AY8WJ	WOS:000347831200007					2019-08-07	
J	Wu, JY				Wu, Jia-Yong			Elliptic gradient estimates for a weighted heat equation and applications	MATHEMATISCHE ZEITSCHRIFT			English	Article						Gradient estimate; Liouville theorem; Smooth metric measure space; Bakry-Emery Ricci tensor; Ricci soliton; Heat equation; Heat kernel	COMPLETE RIEMANNIAN-MANIFOLDS; METRIC MEASURE-SPACES; EMERY-RICCI TENSOR; LIOUVILLE THEOREMS; CURVATURE; SOLITONS; GEOMETRY; KERNEL	We obtain two elliptic gradient estimates for positive solutions to the -heat equation on a complete smooth metric measure space with only Bakry-A parts per thousand mery Ricci tensor bounded below. One is a local sharp Souplet-Zhang's type and the other is a global Hamilton's type. As applications, we prove parabolic Liouville theorems for ancient solutions satisfying some growth restriction near infinity. In particular the Liouville results are suitable for the gradient shrinking or steady Ricci solitons. The estimates of derivation of the -heat kernel are also obtained.	[Wu, Jia-Yong] Shanghai Maritime Univ, Dept Math, Shanghai 201306, Peoples R China; [Wu, Jia-Yong] Cornell Univ, Dept Math, Ithaca, NY 14853 USA	Wu, JY (reprint author), Shanghai Maritime Univ, Dept Math, 1550 Haigang Ave, Shanghai 201306, Peoples R China.	jywu81@yahoo.com		Wu, Jia-Yong/0000-0002-5988-4774	NSFC [11101267, 11271132]; China Scholarship Council [201208310431]	The author thanks Professors Xiaodong Cao, Peng Wu and Qi S. Zhang for their valuable comments and suggestions on an earlier version of this paper. This work is partially supported by NSFC (11101267, 11271132) and the China Scholarship Council (201208310431).		32	12	13	3	6	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	JUN	2015	280	1-2					451	468		10.1007/s00209-015-1432-9				18	Mathematics	Mathematics	CH7UL	WOS:000354242000021					2019-08-07	
J	Brustle, T; Qiu, Y				Bruestle, Thomas; Qiu, Yu			Tagged mapping class groups: Auslander-Reiten translation	MATHEMATISCHE ZEITSCHRIFT			English	Article						Mapping class group; Auslander-Reiten translation; Triangulated surface; Cluster theory; Braid group	CLUSTER CATEGORIES; ALGEBRAS; QUIVERS	We give a geometric realization, the tagged rotation, of the AR-translation on the generalized cluster category associated to a surface with marked points and non-empty boundary, which generalizes Brustle-Zhang's result for the puncture free case. As an application, we show that the intersection of the shifts in the 3-Calabi-Yau derived category associated to the surface and the corresponding Seidel-Thomas braid group of is empty, unless is a polygon with at most one puncture (i.e. of type A or D).	[Bruestle, Thomas; Qiu, Yu] Bishops Univ, Sherbrooke, PQ J1M 1Z7, Canada; [Qiu, Yu] Norwegian Univ Sci & Technol, Dept Math Sci, N-7491 Trondheim, Norway	Brustle, T (reprint author), Bishops Univ, 2600 Coll St, Sherbrooke, PQ J1M 1Z7, Canada.	Thomas.Brustle@USherbrooke.ca; Yu.Qiu@bath.edu			NSERC of Canada; Bishop's University	Supported by the NSERC of Canada and Bishop's University.		26	11	11	1	4	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	APR	2015	279	3-4					1103	1120		10.1007/s00209-015-1405-z				18	Mathematics	Mathematics	CD2AI	WOS:000350875500021					2019-08-07	
J	Giannetti, F; di Napoli, AP				Giannetti, Flavia; di Napoli, Antonia Passarelli			Higher differentiability of minimizers of variational integrals with variable exponents	MATHEMATISCHE ZEITSCHRIFT			English	Article						Variational integrals; Variable exponents; Regularity of minimizers	HOLDER CONTINUITY; REGULARITY; FUNCTIONALS	In this paper we study the regularity properties of local minimizers of integral functionals of the form (sic)(v,Omega) = integral(Omega) F(x, D v(x)) dx, where the integrand is convex and satisfies the so called -growth conditions vertical bar xi vertical bar(p(x)) <= F(x, xi) <= C(1+vertical bar xi vertical bar(p(x))). The novelty here is that the exponent belongs to a suitable Orlicz Sobolev space. We prove a higher differentiability result for local minimizers of the functional and a dimension free higher integrability result for their gradients.	[Giannetti, Flavia; di Napoli, Antonia Passarelli] Univ Naples Federico II, Dipartimento Mat & Appl R Caccioppoli, I-80126 Naples, Italy	di Napoli, AP (reprint author), Univ Naples Federico II, Dipartimento Mat & Appl R Caccioppoli, Via Cintia, I-80126 Naples, Italy.	giannett@unina.it; antpassa@unina.it		Passarelli di Napoli, Antonia/0000-0002-3371-1090	INdAM- GNAMPA Project-"Stime quantitative in disuguaglianze geometriche"; Project "Metodi matematici per la modellizzazione di problemi di localizzazione e di trasporto ottimo" (Regione Campania)	This work has been partially supported by INdAM- GNAMPA Project-"Stime quantitative in disuguaglianze geometriche" (2014) and by the Project "Metodi matematici per la modellizzazione di problemi di localizzazione e di trasporto ottimo" (Legge5/2009 Regione Campania).		21	10	10	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	AUG	2015	280	3-4					873	892		10.1007/s00209-015-1453-4				20	Mathematics	Mathematics	CN1VL	WOS:000358208300015					2019-08-07	
J	Fu, L				Fu, Lie			On the action of symplectic automorphisms on the -groups of some hyper-Kahler fourfolds	MATHEMATISCHE ZEITSCHRIFT			English	Article							CHOW GROUPS; ALGEBRAIC CYCLES; K3 SURFACES; CONJECTURE; VARIETIES; MANIFOLDS; HODGE	We prove that for any polarized symplectic automorphism of the Fano variety of lines of a smooth cubic fourfold (equipped with the Plucker polarization), the induced action on the Chow group of 0-cycles is identity, as predicted by Bloch-Beilinson conjecture. We also prove the same result for the Chow group of homologically trivial 2-cycles up to torsion.	Univ Lyon 1, Inst Camille Jordan, F-69622 Villeurbanne, France	Fu, L (reprint author), Univ Lyon 1, Inst Camille Jordan, 43 Blvd 11 Novembre 1918, F-69622 Villeurbanne, France.	fu@math.univ-lyon1.fr						27	10	10	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0025-5874	1432-1823		MATH Z	Math. Z.	JUN	2015	280	1-2					307	334		10.1007/s00209-015-1424-9				28	Mathematics	Mathematics	CH7UL	WOS:000354242000014					2019-08-07	
