PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Konyagin, SV; Shkredov, ID				Konyagin, S. V.; Shkredov, I. D.			On sum sets of sets having small product set	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article								We improve the sum-product result of Solymosi in R; namely, we prove that max{|A + A|, |AA|} >> |A|(4/3+c) , where c > 0 is an absolute constant. New lower bounds for sums of sets with small product set are found. Previous results are improved effectively for sets A aS, R with |AA| a parts per thousand currency sign |A|(4/3).	[Konyagin, S. V.; Shkredov, I. D.] Russian Acad Sci, VA Steklov Math Inst, Moscow 119991, Russia	Konyagin, SV (reprint author), Russian Acad Sci, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	konyagin@mi.ras.ru; ilya.shkredov@gmail.com	Shkredov, Ilya/Q-8521-2016; Konyagin, Sergei/Q-4807-2016	Shkredov, Ilya/0000-0002-6445-8390; 	Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		11	29	34	1	7	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					288	299		10.1134/S0081543815060255				12	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500025					2019-08-07	
J	Buslaev, VI; Suetin, SP				Buslaev, V. I.; Suetin, S. P.			On equilibrium problems related to the distribution of zeros of the Hermite-Pad, polynomials	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							ASYMPTOTIC FORMULA; S-PROPERTY; APPROXIMANTS; CONVERGENCE; EXISTENCE; ENERGY; PAIR	We study two potential-theory equilibrium problems that arise naturally in the theory of the limit distribution of zeros of the Hermite-Pad, polynomials. We analyze the relationship between these problems and prove that the equilibrium measure for one of the problems is the balayage of the equilibrium measure for the other problem.	[Buslaev, V. I.; Suetin, S. P.] Russian Acad Sci, VA Steklov Math Inst, Moscow 119991, Russia	Buslaev, VI (reprint author), Russian Acad Sci, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	buslaev@mi.ras.ru; suetin@mi.ras.ru	Buslaev, Viktor/Q-3983-2016; Suetin, Sergey Pavlovich/I-6258-2016	Suetin, Sergey Pavlovich/0000-0002-5319-4860	Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		23	21	24	0	4	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					256	263		10.1134/S008154381506022X				8	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500022					2019-08-07	
J	Orlov, DO				Orlov, Dmitri O.			Geometric realizations of quiver algebras	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							GENERATORS	We construct strong exceptional collections of vector bundles on smooth projective varieties that have a prescribed endomorphism algebra. We prove that the construction problem always has a solution. We consider some applications to noncommutative projective planes and to the quiver connected with the three-point Ising function.	Russian Acad Sci, Dept Algebra Geometry, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia	Orlov, DO (reprint author), Russian Acad Sci, Dept Algebra Geometry, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	orlov@mi.ras.ru	Orlov, Dmitri/D-2738-2009	Orlov, Dmitri/0000-0001-5479-2427	Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		17	12	15	1	3	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					70	83		10.1134/S0081543815060073				14	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500007					2019-08-07	
J	Baake, M; Huck, C				Baake, Michael; Huck, Christian			Ergodic properties of visible lattice points	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							OPERATOR METHODS; DIFFRACTION; SYSTEMS; ENTROPY; SETS	Recently, the dynamical and spectral properties of square-free integers, visible lattice points and various generalisations have received increased attention. One reason is the connection of one-dimensional examples such as a"not sign-free numbers with Sarnak's conjecture on the "randomness" of the Mobius function; another is the explicit computability of correlation functions as well as eigenfunctions for these systems together with intrinsic ergodicity properties. Here, we summarise some of the results, with focus on spectral and dynamical aspects, and expand a little on the implications for mathematical diffraction theory.	[Baake, Michael; Huck, Christian] Univ Bielefeld, Fak Math, D-33501 Bielefeld, Germany	Baake, M (reprint author), Univ Bielefeld, Fak Math, Postfach 100131, D-33501 Bielefeld, Germany.	mbaake@math.uni-bielefeld.de; huck@math.uni-bielefeld.de			German Research Foundation (DFG) [CRC 701]	This work was supported by the German Research Foundation (DFG), within the CRC 701.		43	12	12	0	2	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	JAN	2015	288	1					165	188		10.1134/S0081543815010137				24	Mathematics, Applied; Mathematics	Mathematics	CH2VD	WOS:000353881900013					2019-08-07	
J	Aseev, SM; Veliov, VM				Aseev, S. M.; Veliov, V. M.			Maximum principle for infinite-horizon optimal control problems under weak regularity assumptions	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article						infinite horizon; Pontryagin maximum principle; transversality conditions; weak regularity assumptions		The paper deals with first order necessary optimality conditions for a class of infinite-horizon optimal control problems that arise in economic applications. Neither convergence of the integral utility functional nor local boundedness of the optimal control is assumed. Using the classical needle variations technique we develop a normal form version of the Pontryagin maximum principle with an explicitly specified adjoint variable under weak regularity assumptions. The result generalizes some previous results in this direction. An illustrative economical example is presented.	[Aseev, S. M.] Russian Acad Sci, VA Steklov Math Inst, Moscow 119991, Russia; [Aseev, S. M.] Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria; [Veliov, V. M.] Vienna Univ Technol, Inst Stat & Math Methods Econ, A-1040 Vienna, Austria	Aseev, SM (reprint author), Russian Acad Sci, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	aseev@mi.ras.ru; veliov@tuwien.ac.at	Aseev, Sergey/Q-4312-2016	Veliov, Vladimir/0000-0001-6737-1250; Aseev, Sergey/0000-0001-6767-397X	Russian Foundation for Basic Research [13-01-12446-ofi-m2]; Austrian Science Foundation (FWF) [P 26640-N25]	The first author was supported in part by the Russian Foundation for Basic Research (project no. 13-01-12446-ofi-m2). The second author was supported by the Austrian Science Foundation (FWF) under grant no. P 26640-N25.		22	11	11	0	3	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	DEC	2015	291			1			S22	S39		10.1134/S0081543815090023				18	Mathematics, Applied; Mathematics	Mathematics	CY3ZA	WOS:000366347200002					2019-08-07	
J	Katanaev, MO				Katanaev, M. O.			Lorentz invariant vacuum solutions in general relativity	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article								All Lorentz invariant solutions of vacuum Einstein's equations are found. It is proved that these solutions describe space-times of constant curvature.	Russian Acad Sci, VA Steklov Math Inst, Moscow 119991, Russia	Katanaev, MO (reprint author), Russian Acad Sci, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	katanaev@mi.ras.ru	Katanaev, Mikhail/K-2943-2013	Katanaev, Mikhail/0000-0002-7223-1073	Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		5	11	13	0	0	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					138	142		10.1134/S0081543815060127				5	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500012					2019-08-07	
J	Vatutin, VA; Dyakonova, EE				Vatutin, V. A.; Dyakonova, E. E.			Decomposable branching processes with a fixed extinction moment	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							LIMIT-THEOREMS; PARTICLES; BEHAVIOR	The asymptotic behavior as n -> a of the probability of the event that a decomposable critical branching process Z(m) = (Z (1)(m),..., Z (N)(m)), m = 0, 1, 2,..., with N types of particles dies at moment n is investigated, and conditional limit theorems are proved that describe the distribution of the number of particles in the process Z(center dot) at moment m < n given that the extinction moment of the process is n. These limit theorems can be considered as statements describing the distribution of the number of vertices in the layers of certain classes of simply generated random trees of fixed height.	[Vatutin, V. A.; Dyakonova, E. E.] Russian Acad Sci, Dept Discrete Math, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia	Vatutin, VA (reprint author), Russian Acad Sci, Dept Discrete Math, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	vatutin@mi.ras.ru; elena@mi.ras.ru	Vatutin, Vladimir/Q-4558-2016		Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		19	11	12	0	4	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					103	124		10.1134/S0081543815060103				22	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500010					2019-08-07	
J	Adian, SI				Adian, S. I.			New Estimates of Odd Exponents of Infinite Burnside Groups	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							LIE-ALGEBRAS; SEMIGROUPS	This article consists of two parts. The first part presents a detailed history of the long-term joint work (1960-1968) of the author and P.S. Novikov on the proof of the infiniteness of the free Burnside groups B(m, n) for odd periods n a parts per thousand yen 4381 and m > 1 generators (Sections 1 and 2). In Sections 3-10 we survey several significant results obtained by the author and his successors using the Novikov-Adian theory and its various modifications. In the second part (Sections 11-15) we outline a new modification of the Novikov-Adian theory. The new modification allows us to decrease to n a parts per thousand yen 101 the lower bound on the odd periods n for which one can prove the infiniteness of the free periodic groups B(m, n). We plan to publish a full proof of this new result in the journal Russian Mathematical Surveys.	Russian Acad Sci, Steklov Math Inst, Moscow 119991, Russia	Adian, SI (reprint author), Russian Acad Sci, Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	sia@mi.ras.ru	Adian, Sergei/Q-5745-2016	Adian, Sergei/0000-0002-9212-761X	Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		61	11	16	0	1	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	MAY	2015	289	1					33	71		10.1134/S0081543815040045				39	Mathematics, Applied; Mathematics	Mathematics	CN6XH	WOS:000358577300004					2019-08-07	
J	Buslaev, VI				Buslaev, V. I.			Capacity of a compact set in a logarithmic potential field	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							ANALYTIC-FUNCTIONS; PADE APPROXIMANTS; CONVERGENCE	We obtain a formula for determining the capacity of a compact set in the external field created by a spherically normalized logarithmic potential of a measure supported outside the compact set.	Russian Acad Sci, VA Steklov Math Inst, Moscow 119991, Russia	Buslaev, VI (reprint author), Russian Acad Sci, VA Steklov Math Inst, Ul Gubkina 8, Moscow 119991, Russia.	buslaev@mi.ras.ru	Buslaev, Viktor/Q-3983-2016		Russian Science Foundation [14-50-00005]	This work is supported by the Russian Science Foundation under grant 14-50-00005.		18	10	13	0	2	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	AUG	2015	290	1					238	255		10.1134/S0081543815060218				18	Mathematics, Applied; Mathematics	Mathematics	CU1GM	WOS:000363268500021					2019-08-07	
J	Zvonarev, AE; Raigorodskii, A				Zvonarev, A. E.; Raigorodskii, A. M.			Improvements of the Frankl-Rodl theorem on the number of edges of a hypergraph with forbidden intersections, and their consequences in the problem of finding the chromatic number of a space with forbidden equilateral triangle	PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS			English	Article							FINITE SETS; FAMILIES; SYSTEMS; BOUNDS; ERDOS	We survey the results (both old and new) related to the classical Frankl-Rodl theorem on the upper bound for the product of cardinalities of edge sets of two hypergraphs satisfying the condition that the intersection of any two edges of different hypergraphs cannot consist of a prescribed number of vertices. We also present corollaries to these results in the problem of finding the chromatic number of a space with a forbidden equilateral triangle with monochromatic vertices.	[Zvonarev, A. E.; Raigorodskii, A. M.] State Univ, Dept Discrete Math, Fac Innovat & High Technol, Moscow Inst Phys & Technol, Dolgoprudnyi 141700, Moscow Oblast, Russia; [Raigorodskii, A. M.] Moscow MV Lomonosov State Univ, Fac Mech & Math, Dept Math Stat & Random Proc, Moscow 119991, Russia	Zvonarev, AE (reprint author), State Univ, Dept Discrete Math, Fac Innovat & High Technol, Moscow Inst Phys & Technol, Inst Per 7B, Dolgoprudnyi 141700, Moscow Oblast, Russia.	artem.zvonarev@gmail.com; mraigor@yandex.ru	Raigorodskii, Andrei M/L-5095-2017		Russian Foundation for Basic Research [15-01-03530]; Russian Federation [MD-6277.2013.1, NSh-2964.2014.1]	This work was supported by the Russian Foundation for Basic Research (project no. 15-01-03530) and by grants of the President of the Russian Federation (project nos. MD-6277.2013.1 and NSh-2964.2014.1).		35	10	10	0	2	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0081-5438	1531-8605		P STEKLOV I MATH+	Proc. Steklov Inst. Math.	JAN	2015	288	1					94	104		10.1134/S0081543815010071				11	Mathematics, Applied; Mathematics	Mathematics	CH2VD	WOS:000353881900007					2019-08-07	
