PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Vovk, V				Vovk, Vladimir			Ito calculus without probability in idealized financial markets	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						continuous time; cadlag price paths; incomplete markets; pathwise quadratic variation; pathwise stochastic integration	GAME-THEORETIC PROBABILITY	We consider idealized financial markets in which price paths of the traded securities are cadlag functions, imposing mild restrictions on the allowed size of jumps. We prove the existence of quadratic variation for typical price paths, where the qualification "typical" means that there is a trading strategy that risks only one monetary unit and brings infinite capital if quadratic variation does not exist. This result allows one to apply numerous known results in pathwise Ito calculus to typical price paths; we give a brief overview of such results.	Univ London, Royal Holloway, Dept Comp Sci, Egham TW20 0EX, Surrey, England	Vovk, V (reprint author), Univ London, Royal Holloway, Dept Comp Sci, Egham TW20 0EX, Surrey, England.	v.vovk@rhul.ac.uk		Vovk, Vladimir/0000-0003-2602-6877	Air Force Office of Scientific Research [FA9550-14-1-0043]	This research was supported by the Air Force Office of Scientific Research (grant FA9550-14-1-0043).		21	8	8	1	1	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	APR	2015	55	2					270	290		10.1007/s10986-015-9280-1				21	Mathematics	Mathematics	CI3GW	WOS:000354636800009					2019-08-07	
J	Bravo, E; Bravo, J				Bravo, Eric F.; Bravo, Jhon J.			Powers of two as sums of three Fibonacci numbers	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						Diophantine equations; Fibonacci numbers; Zeckendorf representation; linear forms in logarithms; reduction method		We find all positive integer solutions of the Diophantine equation F (n) + F (m) + F (e) = 2 (a) , where F (k) is the kth term of the Fibonacci sequence. This paper continues and extends the previous work of J.J. Bravo and F. Luca [On the Diophantine equation F (n) + F (m) = 2 (a) , Quaest. Math., to appear].	[Bravo, Eric F.; Bravo, Jhon J.] Univ Cauca, Dept Matemat, Calle 5 4-70, Popayan, Colombia	Bravo, E (reprint author), Univ Cauca, Dept Matemat, Calle 5 4-70, Popayan, Colombia.	fbravo@unicauca.edu.co; jbravo@unicauca.edu.co			Colciencias (Colombia) through the Program Jovenes investigadores e innovadores; Universidad del Cauca [VRI ID 3744]; Colciencias [110356935047]	The author was supported by Colciencias (Colombia) through the Program Jovenes investigadores e innovadores.r The author was supported in part by Projects VRI ID 3744 (Universidad del Cauca) and Colciencias 110356935047.		10	7	7	0	4	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JUL	2015	55	3					301	311		10.1007/s10986-015-9282-z				11	Mathematics	Mathematics	CO7TG	WOS:000359364100001					2019-08-07	
J	Liu, P; Hashorva, E; Ji, LP				Liu, Peng; Hashorva, Enkelejd; Ji, Lanpeng			On the gamma-reflected processes with fBm input	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						gamma-reflected process; risk process with tax; ruin probability; ruin time; maximum losses; fractional Brownian motion; Pickands constant; Piterbarg constant	FRACTIONAL BROWNIAN-MOTION; GAUSSIAN-PROCESSES; PASSAGE TIMES; RUIN PROBLEM; EXTREMES; ASYMPTOTICS; CONSTANTS; SUPREMUM; PICKANDS; AVERAGE	Define a gamma-reflected process W (gamma)(t) = Y (H) (t) -aEuro parts per thousand gamma inf (s aaEuro parts per thousand[0. t]) Y (H) (s), t a parts per thousand 1/2 0, gamma a [0, 1], with {Y (H) (t), t a parts per thousand 1/2 0} a fractional Brownian motion with Hurst index H a (0, 1)and negative linear trend. In risk theory, R (gamma) (t)=u-W-gamma(t), t a parts per thousand 1/2 0, is the risk process with tax of a loss-carry-forward type and initial reserve u a parts per thousand 1/2 0 whereas in queueing theory, W (1) is referred to as the queue length process. In this paper, we investigate the ruin probability and the ruin time of R (gamma) over a reserve-dependent time interval.	[Liu, Peng] Nankai Univ, Sch Math Sci, Tianjin 300071, Peoples R China; [Liu, Peng] Nankai Univ, LPMC, Tianjin 300071, Peoples R China; [Hashorva, Enkelejd; Ji, Lanpeng] Univ Lausanne, Fac Business & Econ, Dept Actuarial Sci, UNIL Dorigny, CH-1015 Lausanne, Switzerland	Liu, P (reprint author), Nankai Univ, Sch Math Sci, Tianjin 300071, Peoples R China.	peng.liu@unil.ch; enkelejd.hashorva@unil.ch; lanpeng.ji@unil.ch		Ji, Lanpeng/0000-0002-7790-7765	Swiss National Science Foundation [200021-140633/1]; National Science Foundation of China [11171164]	Supported by the Swiss National Science Foundation Project 200021-140633/1. P. Liu is also supported by the National Science Foundation of China 11171164.		28	6	6	1	5	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JUL	2015	55	3					402	412		10.1007/s10986-015-9288-6				11	Mathematics	Mathematics	CO7TG	WOS:000359364100007		Green Published			2019-08-07	
J	Sunklodas, JK				Sunklodas, Jonas Kazys			On the normal approximation of a negative binomial random sum	LITHUANIAN MATHEMATICAL JOURNAL			English	Article; Proceedings Paper	11th International Vilnius Conference on Probability Theory and Mathematical Statistics	JUN 30-JUL 04, 2014	Vilnius, LITHUANIA	Vilnius Univ, Dept Math & Informatics, Vilnius Univ, Inst Math & Informatics, Lithuanian Math Soc		negative binomial random sum; normal approximation; Stein's method; upper bounds of L-s norms; independent random variables	INDEPENDENT RANDOM-VARIABLES; RANDOM NUMBER	We present upper bounds of the L (s) norms of the normal approximation for random sums of independent identically distributed random variables X (1) ,X (2) , . . . with zero means and finite absolute moments of order 2 + delta, 0 < delta a parts per thousand currency sign 1, where the number of summands N is a negative binomial random variable with parameters r = 1, 2, . . . and 0 < p < 1, independent of the summands X (1) ,X (2) , . . . . The upper bounds obtained are of order r (-delta/2) for all 1 a parts per thousand currency sign s a parts per thousand currency sign a. MSC: 60F05.	Vilnius State Univ, Inst Math & Informat, LT-08663 Vilnius, Lithuania	Sunklodas, JK (reprint author), Vilnius State Univ, Inst Math & Informat, Akad Str 4, LT-08663 Vilnius, Lithuania.	jonas.sunklodas@mii.vu.lt						21	5	6	0	1	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JAN	2015	55	1					150	158		10.1007/s10986-015-9271-2				9	Mathematics	Mathematics	CE0TE	WOS:000351518600011					2019-08-07	
J	Buivydas, E; Laurincikas, A				Buivydas, Eugenijus; Laurincikas, Antanas			A generalized joint discrete universality theorem for the Riemann and Hurwitz zeta-functions	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						Hurwitz zeta-function; joint universality; linear independence; Riemann zeta-function; transcendental number		We prove a discrete version of the Mishou theorem on the approximation of every pair of analytic functions by shifts of the Riemann zeta-function and Hurwitz zeta-functions. For this, a certain independence hypothesis is applied.	[Buivydas, Eugenijus] Siauliai Univ, Inst Informat Math & Studies E, LT-77156 Shiauliai, Lithuania; [Laurincikas, Antanas] Vilnius State Univ, Fac Math & Informat, LT-03225 Vilnius, Lithuania	Buivydas, E (reprint author), Siauliai Univ, Inst Informat Math & Studies E, P Visinskio Str 19, LT-77156 Shiauliai, Lithuania.	antanas.laurincikas@mif.vu.lt						13	4	4	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	APR	2015	55	2					193	206		10.1007/s10986-015-9273-0				14	Mathematics	Mathematics	CI3GW	WOS:000354636800002					2019-08-07	
J	Fazekas, I; Noszaly, C; Perecsenyi, A				Fazekas, Istvan; Noszaly, Csaba; Perecsenyi, Attila			Weights of cliques in a random graph model based on three-interactions	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						random graph; preferential attachment; scale free; power law; submartingale; Doob-Meyer decomposition		We consider a random graph evolution rule. The graph evolution is based on interactions of three vertices. The weight of a clique is the number of its interactions. We describe the asymptotic behavior of the weights. It is known that the weight distribution of the vertices is asymptotically a power law. Here we prove that the weight distributions both of the edges and of the triangles are also asymptotically power laws. The proofs are based on discrete-time martingale methods. Some numerical results are also presented.	[Fazekas, Istvan; Noszaly, Csaba; Perecsenyi, Attila] Debrecen Univ Med, Fac Informat, H-4010 Debrecen, Hungary	Fazekas, I (reprint author), Debrecen Univ Med, Fac Informat, POB 12, H-4010 Debrecen, Hungary.	fazekas.istvan@inf.unideb.hu			European Union; European Social Fund;  [TAMOP-4.2.2.C-11/1/KONV-2012-0001]	The publication was supported by the TAMOP-4.2.2.C-11/1/KONV-2012-0001 project. The project has been supported by the European Union, cofinanced by the European Social Fund.		11	4	4	0	2	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	APR	2015	55	2					207	221		10.1007/s10986-015-9274-z				15	Mathematics	Mathematics	CI3GW	WOS:000354636800003					2019-08-07	
J	Heinrich, L				Heinrich, Lothar			Gaussian limits of empirical multiparameter K-functions of homogeneous Poisson processes and tests for complete spatial randomness	LITHUANIAN MATHEMATICAL JOURNAL			English	Article; Proceedings Paper	11th International Vilnius Conference on Probability Theory and Mathematical Statistics	JUN 30-JUL 04, 2014	Vilnius, LITHUANIA	Vilnius Univ, Dept Math & Informatics, Vilnius Univ, Inst Math & Informatics, Lithuanian Math Soc		point process; reduced second moment measure; set-indexed Gaussian process; multiparameter Gaussian process; Wiener sheet; m-dependence; U-statistic; weak convergence; Skorokhod space of multiparameter cadlag functions; goodness-of-fit tests	STOCHASTIC-PROCESSES; U-STATISTICS; POINT; CONVERGENCE; THEOREMS; MOMENTS; WEAK	We prove two functional limit theorems for empirical multiparameter second moment functions (generalizing Ripley's K-function) obtained from a homogeneous Poisson point field observed in an unboundedly expanding convex sampling window W (n) in a"e (d) . The cases of known and unknown (estimated) intensity lead to distinct Gaussian limits and require quite different proofs. Further we determine the limit distributions of the maximal deviation and the integrated squared distance between empirical and true multiparameter second moment function. These results give rise to construct goodness-of-fit tests for checking the hypothesis that a given point pattern is completely spatially random (CSR), that is, a realization of a homogeneous Poisson process.	Univ Augsburg, Inst Math, D-86135 Augsburg, Germany	Heinrich, L (reprint author), Univ Augsburg, Inst Math, Univ Str 14, D-86135 Augsburg, Germany.	heinrich@math.uni-augsburg.de						37	4	4	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JAN	2015	55	1					72	90		10.1007/s10986-015-9266-z				19	Mathematics	Mathematics	CE0TE	WOS:000351518600006					2019-08-07	
J	Mackevicius, V				Mackevicius, Vigirdas			Verhulst versus CIR	LITHUANIAN MATHEMATICAL JOURNAL			English	Article; Proceedings Paper	11th International Vilnius Conference on Probability Theory and Mathematical Statistics	JUN 30-JUL 04, 2014	Vilnius, LITHUANIA	Vilnius Univ, Dept Math & Informatics, Vilnius Univ, Inst Math & Informatics, Lithuanian Math Soc		Verhulst equation; CIR equation; simulation; strong and weak approximations; split-step approximations; moments of a process; moment-closure condition	TERM STRUCTURE	It is a common practice that interest rates are modeled by a CIR process, a solution of the CIR equation. The usual motivation is that such a process is mean-reverting and takes nonnegative values (for initial nonnegative values). The stochastic Verhulst (SV) equation possesses the same properties. Moreover, one can always choose the parameters of the SV equation so that its solution has the same stationary (gamma) distribution as that of the CIR equation. So, in long run, both processes behave rather similarly. Therefore, the idea to alternatively use the SV process for modeling interest rates seems to be rather natural. In this paper, we first compare SV and CIR and discuss their pros and cons. A serious disadvantage of the SV process is that explicit expressions of its moments are not known. To diminish this gap, the second part of the paper is devoted to approximation of the moments of the SV process.	Vilnius State Univ, Fac Math & Informat, LT-03225 Vilnius, Lithuania	Mackevicius, V (reprint author), Vilnius State Univ, Fac Math & Informat, Naugarduko Str 24, LT-03225 Vilnius, Lithuania.	vigirdas.mackevicius@mif.vu.lt						10	4	4	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JAN	2015	55	1					119	133		10.1007/s10986-015-9269-9				15	Mathematics	Mathematics	CE0TE	WOS:000351518600009					2019-08-07	
J	Lindner, S; Terepeta, M				Lindner, Sebastian; Terepeta, Malgorzata			Algebrability within the class of Baire 1 functions	LITHUANIAN MATHEMATICAL JOURNAL			English	Article						algebrability; strong algebrability; Baire hierarchy; approximately continuous function; psi-density topology; < s >-density topology	SETS; SPACEABILITY; SPACES	It is known that the sets of approximately continuous functions that are discontinuous, of Darboux Baire 1 that are not approximately continuous, and of Baire 1 functions that are not Darboux Baire 1 are strongly -algebrable. We show that between those classes of functions there are many strongly -algebrable sets.	[Lindner, Sebastian] Univ Lodz, Dept Math & Comp Sci, PL-90238 Lodz, Poland; [Terepeta, Malgorzata] Lodz Univ Technol, Ctr Math & Phys, PL-90924 Lodz, Poland	Lindner, S (reprint author), Univ Lodz, Dept Math & Comp Sci, Ul Stefana Banacha 22, PL-90238 Lodz, Poland.	lindner@math.uni.lodz.pl; terepeta@p.lodz.pl	Lindner, Sebastian/M-7825-2019	Lindner, Sebastian/0000-0002-6767-6174				17	3	3	1	5	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JUL	2015	55	3					393	401		10.1007/s10986-015-9287-7				9	Mathematics	Mathematics	CO7TG	WOS:000359364100006					2019-08-07	
J	Mishura, Y				Mishura, Yuliya			The rate of convergence of option prices on the asset following a geometric Ornstein-Uhlenbeck process	LITHUANIAN MATHEMATICAL JOURNAL			English	Article; Proceedings Paper	11th International Vilnius Conference on Probability Theory and Mathematical Statistics	JUN 30-JUL 04, 2014	Vilnius, LITHUANIA	Vilnius Univ, Dept Math & Informatics, Vilnius Univ, Inst Math & Informatics, Lithuanian Math Soc		geometric Ornstein-Uhlenbeck process; discrete approximations; the rate of convergence of option prices	APPROXIMATION; SCHEMES; MODEL; TERM	The paper contains a discrete approximation scheme for the price of asset modeled by a geometric Ornstein-Uhlenbeck process. The idea is to consider Euler-type discrete-time approximations with the increments of the Wiener process replaced by i.i.d. bounded vanishing symmetric random variables. It is shown that the prelimit and limit markets are arbitrage-free, prelimit market is incomplete and admits the minimal martingale measure, and the limit market is complete. The rate of convergence of option prices is estimated using the classical results on the rate of convergence of the distributions of sums of nonidentically distributed random variables to the normal law.	Taras Shevchenko Natl Univ Kyiv, Dept Probabil Stat & Actuarial Math, UA-01601 Kiev, Ukraine	Mishura, Y (reprint author), Taras Shevchenko Natl Univ Kyiv, Dept Probabil Stat & Actuarial Math, Volodymyrska Str 64, UA-01601 Kiev, Ukraine.	myus@univ.kiev.ua	Mishura, Yuliya/H-9928-2018					22	3	3	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0363-1672	1573-8825		LITH MATH J	Lith. Math. J.	JAN	2015	55	1					134	149		10.1007/s10986-015-9270-3				16	Mathematics	Mathematics	CE0TE	WOS:000351518600010					2019-08-07	
